,street,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,SMD,CLASS,DESCRIPTION,YelpCorrect,Selection.DATE,Month.Sort,FY.Sort,Applicant,Owner.Name
513,1423 P ST NW,"ABRA‐
060706",Active,"Logan Dining, LLC",Logan Tavern,"1423 P ST, NW, WASHINGTON, 
DC 20005","SMD 
2F02",C,Restaurant,,SEP 2003,200309,FY2003,,SJG PROPERTIES
516,1424 PARK RD NW,"ABRA‐
096613",Active,"MI CUBA CAFE, INC",MI CUBA CAFE,"1424 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A05",C,Restaurant,,DEC 2012,201212,FY2012,,JOSEFINA AYALA
518,1426 H ST NW,"ABRA‐
090596",Active,"Par Baked  LLC (duplicate 
issued 08/27/2013","Woodward 
Table/WTF(Woodward","1426 H ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Restaurant,,SEP 2012,201209,FY2012,,SJG PROPERTIES
521,1433 H ST NE,"ABRA‐
072672",Active,"The Argonaut, LLC",The Argonaut,"1433 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Restaurant,,JUN 2005,200506,FY2005,,1433 H STREET LLC
527,1501 9TH ST NW,"ABRA‐
095700",Active,"CHAPLIN RESTAURANT 
DC LLC",CHAPLIN,"1501 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01",C,Restaurant,,JUL 2014,201407,FY2014,,MYINT FAMILY LLC
532,1501 K ST NW,"ABRA‐
095922",Active,"Adams Restaurant Group 
Inc",Claudia's Steakhouse,"1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05",C,Restaurant,,MAY 2015,201505,FY2015,,I B ASSOCIATES LIMITED PARTNERSHIP
536,1503 9TH ST NW,"ABRA‐
073644",Active,"Queen of Sheba, Inc.",Queen of Sheba,"1503 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01",C,Restaurant,,JAN 2006,200601,FY2006,,LI
538,1513 17TH ST NW,"ABRA‐
092298",Active,"Shoreditch Cooperatve 
LLC",Duke's Grocery,"1513 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Restaurant,,JUL 2013,201307,FY2013,"SHOREDITCH  COOPERATIVE, LLC",MON GONG LEE ENTERPRISES LLC
542,1514 NORTH CAPITOL ST NW,"ABRA‐
096522",Active,"SEB, INC.",Uncle Chip's,"1514 NORTH CAPITOL ST, NW, 
WASHINGTON, DC 20002","SMD 
5E05",C,Tavern,,SEP 2014,201409,FY2014,,BARNES & BOYLE LLC
551,1523 17TH ST NW,"ABRA‐
072743",Active,Pasha International Inc.,Pasha's Kitchen,"1523 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Restaurant,2015,SEP 2012,201209,FY2012,PASHA INTERNATIONAL INC,1523 17TH STREET LLC
554,1527 17TH ST NW,"ABRA‐
098029",Active,Agora Inc,Agora,"1527 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Restaurant,,MAR 2010,201003,FY2010,AGORA  INC.,1527 17TH ST LLC
556,1528 CONNECTICUT AVE NW,"ABRA‐
083793",Active,"BGR DuPont, LLC",BGR The Burger Joint,"1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02",D,Restaurant,,SEP 2015,201509,FY2015,,DUPONT CIRCLE METRO LLC
559,1528 CONNECTICUT AVE NW,"ABRA‐
098308",Active,Fast Good LLC,Beefsteak,"1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02",C,Restaurant,,SEP 2015,201509,FY2015,,DUPONT CIRCLE METRO LLC
567,1550 7TH ST NW,"ABRA‐
095815",Active,"Beau Thai Shaw, LLC",Beau Thai,"1550 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01",C,Restaurant,,DEC 2014,201412,FY2014,,KELSEY GARDENS PROPERTY COMPANY LLC
569,1564 WISCONSIN AVE NW,"ABRA‐
079261",Active,"Los Cuates Restaurant 
Inc.",Los Cuates Restaurant,"1564 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02",C,Restaurant,,APR 2008,200804,FY2008,,EDWARD JONES
572,1600 7TH ST NW,"ABRA‐
092773",Active,"DACI ENTERPRISES, LLC",DACHA BEER GARDEN,"1600 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01",D,Tavern,,NOV 2014,201411,FY2014,,NA LIN
577,1600 K ST NW,"ABRA‐
084688",Active,"P.J. Clarke's Washington 
LLC",P.J. Clarke's And SideCar,"1600 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05",C,Restaurant,,SEP 2010,201009,FY2010,,1600 CAPITAL ASSOCIATES LLC
580,1601 CONNECTICUT AVE NW,"ABRA‐
076074",Active,"MHG Cafe Dupont, LLC",Circa at Dupont,"1601 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B03",C,Restaurant,,MAR 2007,200703,FY2007,,"INDULGE, LLC"
583,1601 RHODE ISLAND AVE NE,"ABRA‐
094158",Active,ICH Prop LLC,The Public Option,"1601 RHODE ISLAND AVE, NE, 
WASHINGTON, DC 20018","SMD 
5C06",C,Tavern,2015,DEC 2013,201312,FY2013,,WILLIAM D PERRY  JR
585,1606 20TH ST NW,"ABRA‐
094290",Active,"Hilltop Hospitality, LLC",Mission,"1606 20TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B02",C,Restaurant,,FEB 2014,201402,FY2014,,NIMAKLEO LLC
588,1606 K ST NW,"ABRA‐
088452",Active,"1606 K, LLC",Fuel Pizza & Wings,"1606 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05",C,Restaurant,,JAN 2012,201201,FY2012,FUEL  PIZZA,T E S REALTY CO
590,1608 7TH ST NW,"ABRA‐
081849",Active,"Fasil Ethiopian 
Restaurant, LLC","Uptown Ethiopian Fusion 
Cuisine","1608 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01",C,Restaurant,,NOV 2013,201311,FY2013,,"1608 7TH ST, LLC"
594,1610 14TH ST NW,"ABRA‐
088785",Active,HGH 1610 LLC,Ghibellina/Sotto,"1610 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2F01",C,Tavern,,MAY 2013,201305,FY2013,,"HGH 1610, LLC"
605,1633 P ST NW,"ABRA‐
100279",Active,"NazcaMochica 
Restaurant, LLC","Nazca Restaurant/ Mochica 
Restaurant","1633 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B05",C,Restaurant,2015,AUG 2012,201208,FY2012,ATA  CORPORATION,AMS LP
612,1635 CONNECTICUT AVE NW,"ABRA‐
095570",Active,"CUSTOM 1635 CT, LLC","CUSTOM FUEL PIZZA AND 
SALADS","1635 CONNECTICUT AVE, NW, 
WASHINGTON, DC","SMD 
2B03",C,Restaurant,,MAY 2014,201405,FY2014,,DRAGONFLY REALTY LLC
615,1637 R ST NW,"ABRA‐
098935",Active,"1637 R Street, LLC",Some Place Else Bar & Grill,"1637 R ST, NW, WASHINGTON, 
DC 20009","SMD 
2B04",C,Restaurant,,MAY 2015,201505,FY2015,,MANUEL F PENA & ROBERT F CALLAHAN TRUSTEES
618,1639 WISCONSIN AVE NW,"ABRA‐
092977",Active,"Pho Viet & Grills, LLC",Pho Viet & Grille,"1639 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02",C,Restaurant,,AUG 2013,201308,FY2013,,AP 1639 WISCONSIN AV LLC
623,1654 COLUMBIA RD NW,"ABRA‐
089877",Active,"DB Adams Morgan, LLC",Doner Bistro,"1654 COLUMBIA RD, NW, 
WASHINGTON, DC 20009","SMD 
1C06",D,Restaurant,,SEP 2012,201209,FY2012,,JESSICA L RACINE-WHITE
625,1667 K ST NW,"ABRA‐
091046",Active,"The Noodles Shop, Co. ‐ 
Colorado Inc",Noodles & Company,"1667 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05",C,Restaurant,,FEB 2013,201302,FY2013,"THE NOODLE SHOP, CO.",JAMNES CAMPBELL COMPANY LLC
627,1700 1ST ST NW,"ABRA‐
084379",Active,"Big Bear Cafe, LLC",Big Bear Cafe,"1700 1ST ST, NW, 
WASHINGTON, DC 20001","SMD 
5E06",C,Restaurant,,APR 2010,201004,FY2010,"BIG BEAR CAFE, LLC",STUART DAVENPORT
633,1700 K ST NW,"ABRA‐
082360",Active,"Kellari Washington, LLC",Kellari,"1700 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Restaurant,,JUL 2009,200907,FY2009,"KELLARI WASHINGTON , LLC.",KELLARI
638,1700 NEW JERSEY AVE NW,"ABRA‐
086393",Active,Beau Thai LLC,BKK Cookshop,"1700 NEW JERSEY AVE, NW, 
WASHINGTON, DC 20001","SMD 
6E02",C,Restaurant,2015,OCT 2010,201010,FY2010,"BEAU THAI, LLC.",JAHAN FARD AMINI
642,1716 I ST NW,"ABRA‐
083133",Active,"1716 I, LLC",Eye Bar/Garden of Eden,"1716 I ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Nightclub,2010,SEP 2009,200909,FY2009,1716 I LLC,LOUIS C HAIRDRESSOR
648,1716 I ST NW,"ABRA‐
000755",Active,CRV Corporation,The Bottom Line,"1716 I ST, NW, UNIT A, 
WASHINGTON, DC 20006","SMD 
2B06",C,Tavern,,MAR 2004,200403,FY2004,,RATNER COMPANY
650,1720 I ST NW,"ABRA‐
086035",Active,1720 I LLC,Asia DC,"1720 I ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Nightclub,,JUL 2003,200307,FY2003,,INTREPID EYE ST. LLC.
655,1721 WISCONSIN AVE NW,"ABRA‐
074333",Active,SKA Luna Corporation,"Casbah Cafe/Ledo Pizza 
Restaurant","1721 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02",C,Restaurant,,OCT 2005,200510,FY2005,,ALAN COOPER
657,1723 CONNECTICUT AVE NW,"ABRA‐
098331",Active,"1723 Dupont, LLC",Salty Dog Tavern,"1723 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B01",C,Tavern,,FEB 2015,201502,FY2015,,1723 CONNECTICUT AVENUE INVESTOR LLC
662,1726 CONNECTICUT AVE NW,"ABRA‐
082036",Active,"Maddy's, LLC",Maddy's Bar and Grille,"1726 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B01",C,Restaurant,,SEP 2009,200909,FY2009,,T CORPORATION
664,1727 CONNECTICUT AVE NW,"ABRA‐
081479",Active,Bistro Inc.,"French Bistro Bistro B 
Lounge","1727 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B01",C,Tavern,,FEB 2009,200902,FY2009,BISTRO  INC.,Bistro Bistro
677,1730 PENNSYLVANIA AVE NW,"ABRA‐
092808",Active,"gcdc, LLC",gcdc,"1730 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20006","SMD 
2A08",C,Restaurant,,MAR 2014,201403,FY2014,,1730 PENN AVE LP
681,1734 WISCONSIN AVE NW,"ABRA‐
087348",Active,"Washington Wanbao, Inc",Shanghai Lounge,"1734 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02",C,Restaurant,,APR 2011,201104,FY2011,"WASHINGTON WANBAO, INC.","WASHINGTON WANBAO, INC"
688,1747 PENNSYLVANIA AVE NW,"ABRA‐
092719",Active,Fuel 1747 Penn LLC,Custom Fuel/Fuel Pizza,"1747 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20006","SMD 
2B06",C,Restaurant,,JUL 2013,201307,FY2013,,1747 PENNSYLVANIA AVENUE ASSOC LP
689,1771 U ST NW,"ABRA‐
074433",Active,"Dahlak Restaurant, Inc.",Dahlak Restaurant,"1771 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1C07",C,Restaurant,,OCT 2004,200410,FY2004,,"HARAMBE CAFE, INC"
693,1776 I ST NW,"ABRA‐
013218",Active,"La Taberna Del 
Alabardero Inc",Taberna Del Alabardero,"1776 I ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Restaurant,,JAN 2005,200501,FY2005,,THE GREYSTONE SQUARE 127 ASSOCIATES
696,1800 M ST NW,"ABRA‐
076388",Active,"VAP 1800 M Street, LLC",Vapiano,"1800 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Restaurant,,MAY 2007,200705,FY2007,,"VAP 1800 M STREET, LLC"
704,1810 K ST NW,"ABRA‐
084365",Active,B. BALI CORP.,Rasoi,"1810 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Restaurant,,JUN 2010,201006,FY2010,B BALI  CORP.,CARR CRHP PROPERTIES LLC
707,1812 HAMLIN ST NE,"ABRA‐
095164",Active,TMI International Inc,Sip,"1812 HAMLIN ST, NE, 
WASHINGTON, DC 20018","SMD 
5C07",C,Tavern,,AUG 2014,201408,FY2014,,DEREK TAYLOR
715,1813 M ST NW,"ABRA‐
023167",Active,"19th & K, Inc.","Ozio Martini & Cigar 
Lounge","1813 M ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Nightclub,2005,AUG 2012,201208,FY2012,"19TH & K, INC",1813-1815 M STREET LLC
717,1815 WISCONSIN AVE NW,"ABRA‐
091044",Active,"The Noodle Shop Co ‐ 
Colorado Inc",Noodles & Company,"1815 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E07",C,Restaurant,,JUN 2013,201306,FY2013,,SAFEWAY INC
720,1817 COLUMBIA RD NW,"ABRA‐
096627",Active,"Ahmed Ouihman 
Enterprises LLC",Pop's Seabar 1,"1817 COLUMBIA RD, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Restaurant,,SEP 2014,201409,FY2014,AHMED  OUIHMAN,ANTONIO PUGLISI
729,1818 14TH ST NW,"ABRA‐
089801",Active,"Ted's Bulletin 14th Street, 
LLC",Ted's Bulletin,"1818 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B09",C,Restaurant,,AUG 2013,201308,FY2013,,"JBG/ 14th & S, LLC"
733,1819 14TH ST NW,"ABRA‐
084847",Active,1819 14th Ventures LLC,EL CENTRO  D.F.,"1819 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Restaurant,,APR 2011,201104,FY2011,1819 14TH VENTURES LLC,1819 14TH ST LLC
734,1819 COLUMBIA RD NW,"ABRA‐
077276",Active,"Credence, LLC",Cashions Eat Place,"1819 COLUMBIA RD, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Restaurant,,OCT 2007,200710,FY2007,,AUCHINCLOSS
739,1823 L ST NW,"ABRA‐
060567",Active,Jha Corporation,Recessions II,"1823 L ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,OCT 2002,200210,FY2002,,L K B ASSOCIATES
740,1823 L ST NW,"ABRA‐
071698",Active,"James Mackey 
Investors,l.P.",Mackey's,"1823 L ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,OCT 2002,200210,FY2002,,L K B ASSOCIATES
741,1824 HALF ST SW,"ABRA‐
078663",Active,"C J Enterprises, Inc.",Ziegfeld's/Secrets,"1824 HALF ST, SW, 
WASHINGTON, DC 20024","SMD 
6D05",C,Nightclub,,FEB 2008,200802,FY2008,,C.J. ENTERPRISES LTD
746,1825 14TH ST NW,"ABRA‐
081469",Active,"Sula, LLC",Masa 14,"1825 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Restaurant,,OCT 2009,200910,FY2009,"SULA,  LLC.",1831 14TH STREET LLC
748,1825 18TH ST NW,"ABRA‐
092461",Active,"1825 18th Hospitality, LLC",Bar Charley,"1825 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B08",C,Restaurant,,AUG 2013,201308,FY2013,,LJ DEVELOPMENT INC
753,1825 CONNECTICUT AVE NW,"ABRA‐
060461",Active,"Buca Restaurants, Inc.",Buca Di Beppo,"1825 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
1C01",C,Restaurant,,OCT 2001,200110,FY2001,,WASHINGTON SPORTS
757,1825 M ST NW,"ABRA‐
085120",Active,"DC Irish, LLC",Sign of the Whale,"1825 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,AUG 2005,200508,FY2005,,"MESSINI SERIRES OF VALIRA, LLC."
760,1827 M ST NW,"ABRA‐
097074",Active,"DeSales Restaurant 
Group, LLC",Parlay,"1827 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,AUG 2014,201408,FY2014,,REN SHOA-SHENG
764,1828 L ST NW,"ABRA‐
100498",Active,Paradise Veloce,Veloce,"1828 L ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",D,Restaurant,2015,MAY 2004,200405,FY2004,,TOWER COMPANIES
767,1831 M ST NW,"ABRA‐
099805",Active,"1831 M, LLC",1831,"1831 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,JUL 2015,201507,FY2015,,CHREKY LP
769,1831 M ST NW,"ABRA‐
084184",Active,"Good Life 1831 M, LLC",Second State,"1831 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Tavern,,SEP 2014,201409,FY2014,,CHREKY LP
773,1832 1ST ST NW,"ABRA‐
090174",Active,YADA GROUP INC,Aroi Thai Cuisine,"1832 1ST ST, NW, 
WASHINGTON, DC 20001","SMD 
5E07",C,Restaurant,,DEC 2012,201212,FY2012,YADA  GROUP INC.,BRS HOLDINGS LLC
775,1833 14TH ST NW,"ABRA‐
072472",Active,"Pilar Hospitality Group, 
LLC",Bar Pilar,"1833 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,MAY 2005,200505,FY2005,,CHARLES R PROPERTIES
779,1834 WISCONSIN AVE NW,"ABRA‐
060603",Active,Cavit Ozturk,Cafe Divan,"1834 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02",C,Restaurant,,APR 2002,200204,FY2002,,CAVIT OZTURK
781,1836 18TH ST NW,"ABRA‐
094825",Active,"Coddi Wes 1, LLC",Rebellion,"1836 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B08",C,Restaurant,,APR 2014,201404,FY2014,,TAN INC
790,1837 M ST NW,"ABRA‐
087794",Active,Boqueria DC LLC,Boqueria,"1837 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Restaurant,,APR 2012,201204,FY2012,BOQUERIA LLC,GROSVENOR URBAN RETAIL LP
792,1840 6TH ST NW,"ABRA‐
086825",Active,"Bohemian Restaurants, 
LLC",Bistro Bohem,"1840 6TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E02",C,Restaurant,,FEB 2012,201202,FY2012,"BOHEMIAN  RESTAURANT, L.L.C.",FLORIDA SIX MANAGEMENT LLC
795,1841 COLUMBIA RD NW,"ABRA‐
019008",Active,"Bedrock Billiards, Inc.",Bedrock Billiards,"1841 COLUMBIA RD, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Tavern,,DEC 2002,200212,FY2002,,SMITH PROPERTY HOLDINGS
797,1847 14TH ST NW,"ABRA‐
060456",Active,Saint‐Ex Group LLC,Cafe Saint‐Ex,"1847 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,JUN 2002,200206,FY2002,,RONALD
800,1847 COLUMBIA RD NW,"ABRA‐
075836",Active,The Popal Group LLC,Lapis,"1847 COLUMBIA RD, NW, 
WASHINGTON, DC 20009","SMD 
1C03",C,Restaurant,2015,NOV 2006,200611,FY2006,,"THE POPAL GROUP, LLC"
805,1900 M ST NW,"ABRA‐
071717",Active,"1900 M Restaurant 
Associates, Inc.",Rumors Restaurant,"1900 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Nightclub,,DEC 2005,200512,FY2005,,GOOD TYME FOOD COURT
816,1904 14TH ST NW,"ABRA‐
076804",Active,"The Griffin Group, LLC",Policy,"1904 14TH ST, NW, 
WASHINGTON, DC 20010","SMD 
2B09",C,Restaurant,,JUL 2009,200907,FY2009,"GRIFFIN  GROUP, LLC",14TH AND T LLC
817,1905 9TH ST NW,"ABRA‐
077350",Active,"Bouche, LLC",1905,"1905 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,JUN 2008,200806,FY2008,,LEWIS
823,1907 9TH ST NW,"ABRA‐
090422",Active,ROMYO  LLC,Ambassador Restaurant,"1907 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,SEP 2008,200809,FY2008,"HEAB, INC.",GEBREMICHAEL YOHANNES
825,1909 K ST NW,"ABRA‐
077812",Active,"TGR, Inc.",Cities DC,"1909 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Restaurant,2015,JUL 2013,201307,FY2013,,NINA JO ASSOCIATES LLC
829,1910 18TH ST NW,"ABRA‐
071021",Active,Poy Loung Inc.,The Regent Thai Cuisine,"1910 18TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B08",C,Restaurant,,JUN 2004,200406,FY2004,,BLONDIE''S HAIR SALON
831,1914 9TH ST NW,"ABRA‐
095003",Active,"It Takes Two, LLC",Dino's Grotto,"1914 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,APR 2014,201404,FY2014,,1914 LLC
838,1915 I ST NW,"ABRA‐
071036",Active,"Kaz, LLC",Kaz Sushi,"1915 I ST, NW, WASHINGTON, 
DC 20006","SMD 
2B06",C,Restaurant,2006,OCT 2008,200810,FY2008,K & H INC.,TRC 1915 LLC
841,1919 9TH ST NW,"ABRA‐
087362",Active,"Zeni, LLC","Habesha Market & Carry‐
Out Restaurant","1919 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",D,Restaurant,2007,FEB 2014,201402,FY2014,,FRIENDSHIP LIMOUSINE TRANSPORTATION SERVICE
842,1919 9TH ST NW,"ABRA‐
093572",Active,"Kat, LLC",Cloud Restaurant & Lounge,"1919 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,SEP 2013,201309,FY2013,,FRIENDSHIP LIMOUSINE TRANSPORTATION SERVICE
850,1920 9TH ST NW,"ABRA‐
097277",Active,Lemlem Gebrewahd,Freedom Lounge,"1920 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,APR 2014,201404,FY2014,,ASEFU D ALEMAYEH
852,1924 9TH ST NW,"ABRA‐
094795",Active,"Appioo, LLC",Appioo,"1924 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,MAR 2014,201403,FY2014,,YESHIMEBET T BELAY
861,1926 9TH ST NW,"ABRA‐
095433",Active,"Davali, LLC",Al Crostino,"1926 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,MAY 2014,201405,FY2014,,CAUSE PROPERTIES LLC
863,1930 9TH ST NW,"ABRA‐
088787",Active,"Family, LLC","Maraki Restaurant & 
Lounge","1930 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,JAN 2013,201301,FY2013,"FAMILY,  LLC.",MESFIN ZEWDIE
870,1931 14TH ST NW,"ABRA‐
098831",Active,SRF LLC,Boss Burger,"1931 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Restaurant,,OCT 2014,201410,FY2014,,PILOT PROPERTIES
876,1936 9TH ST NW,"ABRA‐
082969",Active,Terfneh Kahsay,Salina Restaurant,"1936 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,JUL 2009,200907,FY2009,TERFNEH  KAHSAY,CARMEN C SMITH
881,1940 11TH ST NW,"ABRA‐
077574",Active,"Pac Concepts, Inc.",Vinoteca,"1940 11TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Restaurant,,AUG 2007,200708,FY2007,,PAC CONCEPTS INC.
883,1940 9TH ST NW,"ABRA‐
071156",Active,"Bar 9, LLC",DC 9,"1940 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Nightclub,,DEC 2003,200312,FY2003,,YOUSEPH HIJAZI
885,1942 9TH ST NW,"ABRA‐
070728",Active,"Etete Ethiopian Cuisine 
Llc",Etete Ethiopian Cuisine,"1942 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,SEP 2004,200409,FY2004,,YODIT GIRMA
889,1946 NEW HAMPSHIRE AVE NW,"ABRA‐
095296",Active,1946 New Hampshire LLC,Yamas Mediterranean Grill,"1946 NEW HAMPSHIRE AVE, 
NW, WASHINGTON, DC 20009","SMD 
2B08",D,Restaurant,2014,JUN 2008,200806,FY2008,,"RAPS SUBWAYS, INC."
890,1990 M ST NW,"ABRA‐
096999",Active,"Nagomi, Inc.",Nagomi,"1990 M ST, NW, WASHINGTON, 
DC","SMD 
2B06",C,Restaurant,2014,JAN 2013,201301,FY2013,,EQUITY M STREET LLC
898,1990 M ST NW,"ABRA‐
020080",Active,"Half‐Baked, Inc.",Vidalia,"1990 M ST, NW, WASHINGTON, 
DC 20036","SMD 
2B06",C,Restaurant,,AUG 2004,200408,FY2004,,JACKS FRESH
902,20 M ST SE,"ABRA‐
094844",Active,The Big Stick LLC,The Big Stick,"20 M ST, SE, WASHINGTON, DC 
20003","SMD 
6D02",C,Restaurant,,DEC 2014,201412,FY2014,,SOUTHEAST REALTY LLC
904,20 M ST SE,"ABRA‐
094844",Active,The Big Stick LLC,The Big Stick,"20 M ST, SE, WASHINGTON, DC 
20003","SMD 
6D02",C,Restaurant,,DEC 2014,201412,FY2014,,SOUTHEAST REALTY LLC
906,200 UPSHUR ST NW,"ABRA‐
090258",Active,Fusion D & Q LLC,Hitching Post Restaurant,"200 UPSHUR ST, NW, 
WASHINGTON, DC 20011","SMD 
4C10",C,Tavern,2007,AUG 2012,201208,FY2012,FUSION D & Q LLC.,CARTER ALVIN D
908,2000 MASSACHUSETTS AVE NW,"ABRA‐
016192",Active,"Paradise, Inc.",Pizzeria Paradiso,"2000 MASSACHUSETTS AVE, 
NW, WASHINGTON, DC 20036","SMD 
2B02",C,Restaurant,,JUN 2009,200906,FY2009,"PQ BLAINE  MANSION,INC.",2000 MASS AVE LLC
913,2000 PENNSYLVANIA AVE NW,"ABRA‐
020060",Active,"Bertucci's Restaurant 
Corporation","Bertucci's Brick Oven 
Pizzeria","2000 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20006","SMD 
2A08",C,Restaurant,,MAY 2007,200705,FY2007,,"THE JOHNNY ROCKETS GROUP, INC ."
918,2001 11TH ST NW,"ABRA‐
074895",Active,"Mahogany, LLC","The Tap & 
Parlour/Bohemian Caverns","2001 11TH ST, NW, UNIT A, 
WASHINGTON, DC 20001","SMD 
1B02",C,Tavern,,JAN 2006,200601,FY2006,,AFSHAR
919,2001 11TH ST NW,"ABRA‐
074894",Active,"Mahogany, LLC",LIV Nightclub,"2001 11TH ST, NW, UNIT B, 
WASHINGTON, DC 20001","SMD 
1B02",C,Nightclub,,JAN 2006,200601,FY2006,,AFSHAR
920,2001 14TH ST NW,"ABRA‐
083264",Active,"Cuckoo Marans, LLC","Music & Arts 
Club/Tropicalia","2001 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Nightclub,,AUG 2012,201208,FY2012,,THOMAS G TSIANAKAS
925,2001 14TH ST NW,"ABRA‐
083420",Active,"Green Zebra, LLC",Lost Society,"2001 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,JUN 2011,201106,FY2011,GREEN  ZEBRA LLC,THOMAS G TSIANAKAS
