,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,YearOpen,SMD,CLASS,DESCRIPTION,street
1347,"ABRA‐
090601",Active,Chix LLC,Chix,"1121 14TH ST, NW, 
WASHINGTON, DC 20005",2013,"SMD 
2F05",D,Restaurant,1121 14TH ST NW
963,"ABRA‐
014759",Active,2718 Corporation,Chuck & Bill Bison Lounge,"2718 GEORGIA AVE, NW, 
WASHINGTON, DC 20001",2006,"SMD 
1B09",C,Tavern,2718 GEORGIA AVE NW
753,"ABRA‐
092662",Active,"CHUPACABRA, LLC",Chupacabra,"822 H ST, NE, WASHINGTON, DC 
20002",2013,"SMD 
6A01",C,Restaurant,822 H ST NE
304,"ABRA‐
060806",Active,"MST Enterprises, Inc.","Churreria Madrid 
Restaurant","2505 CHAMPLAIN ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2505 CHAMPLAIN ST NW
141,"ABRA‐
014818",Active,"Louyans, Inc.",City Lights of China,"1729‐1731 CONNECTICUT AVE, 
NW, WASHINGTON, DC 20009",2006,"SMD 
2B01",C,Restaurant,1729‐1731 CONNECTICUT AVE NW
989,"ABRA‐
060040",Active,"Club Cinema Of Mazza, 
Inc.",Club Cinema,"5300 WISCONSIN AVE, NW, 
WASHINGTON, DC 20016",,"SMD 
3E03",C,Tavern,5300 WISCONSIN AVE NW
1046,"ABRA‐
077730",Active,"Caribbean Vibes, Inc.",Club Timehri,"2439 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Tavern,2439 18TH ST NW
175,"ABRA‐
022027",Active,"Clyde's of Georgetown, 
Inc.",Clyde's,"3236 M ST, NW, WASHINGTON, 
DC 20007",2005,"SMD 
2E05",C,Restaurant,3236 M ST NW
301,"ABRA‐
060778",Active,"Clyde's of Gallery Place, 
Inc.",Clyde's Of Gallery Place,"707 7TH ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,707 7TH ST NW
1012,"ABRA‐
071833",Active,Hunam Inn Inc.,"Cobalt/ 30 Degrees/Level 
One","1639‐1641 R ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B04",C,Tavern,1639‐1641 R ST NW
196,"ABRA‐
024834",Active,"Columbia Station, Inc.",Columbia Station,"2325 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,2325 18TH ST NW
957,"ABRA‐
012509",Active,"Gibson Associates 
Incorporated",Columbus Club,"50 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",,"SMD 
6C04",C,Tavern,50 MASSACHUSETTS AVE NE
367,"ABRA‐
074897",Active,"Big Cheese, LLC",Comet Pizza,"5037 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3F05",C,Restaurant,5037 CONNECTICUT AVE NW
326,"ABRA‐
071487",Active,"Logan Grill, LLC",Commissary,"1443 P ST, NW, WASHINGTON, 
DC 20005",2008,"SMD 
2F02",C,Restaurant,1443 P ST NW
849,"ABRA‐
096296",Active,"CMSA, LLC",Convivial,"801 O ST, NW, WASHINGTON, 
DC 20001",2015,"SMD 
6E01",C,Restaurant,801 O ST NW
146,"ABRA‐
015941",Active,"Corado's Restaurant, Inc.","Corado's Guatemalan 
Restaurant","3217 MT PLEASANT ST, NW, 
WASHINGTON, DC 20010",2006,"SMD 
1D04",C,Restaurant,3217 MT PLEASANT ST NW
433,"ABRA‐
078003",Active,"Corduroy, LLC",Corduroy,"1122 9TH ST, NW, 
WASHINGTON, DC 20001",2006,"SMD 
2F06",C,Restaurant,1122 9TH ST NW
460,"ABRA‐
079873",Active,Garay Corporation,Corina's Restaurant,"831 KENNEDY ST, NW, 
WASHINGTON, DC 20011",2013,"SMD 
4D01",C,Restaurant,831 KENNEDY ST NW
419,"ABRA‐
077111",Active,"K & D, LLC",Cork,"1720 14TH ST, NW, UNIT A, 
WASHINGTON, DC 20009",2008,"SMD 
2F01",C,Restaurant,1720 14TH ST NW
672,"ABRA‐
090223",Active,"H & B Ventures, LLC",Costa Brava,"1837 1ST ST, NW, 
WASHINGTON, DC 20001",c,"SMD 
5E07",C,Restaurant,1837 1ST ST NW
765,"ABRA‐
092948",Active,"Upshur Restaurant, LLC",Crane & Turtle,"828 UPSHUR ST, NW, 
WASHINGTON, DC 20011",c,"SMD 
4C07",C,Restaurant,828 UPSHUR ST NW
493,"ABRA‐
082457",Active,CUBA LIBRE DC LLC,"Cuba Libre Restaurant & 
Rum Bar","801 9TH ST, NW, WASHINGTON, 
DC 20001",2010,"SMD 
2C01",C,Restaurant,801 9TH ST NW
1373,"ABRA‐
095028",Active,CULTURE COFFEE  LLC,CULTURE COFFEE,"709 KENNEDY ST, NW, 
WASHINGTON, DC 20011",2013,"SMD 
4D01",D,Restaurant,709 KENNEDY ST NW
350,"ABRA‐
073188",Active,"Simply Home Cuisine, LLC",D C Noodles,"1410 U ST, NW, WASHINGTON, 
DC 20009",2009,"SMD 
2B09",C,Restaurant,1410 U ST NW
609,"ABRA‐
087780",Active,"Da Luft DC, Inc.","Da Luft Restaurant & 
Lounge","1242 H ST, NE, WASHINGTON, 
DC 20002",2013,"SMD 
6A01",C,Restaurant,1242 H ST NE
187,"ABRA‐
024105",Active,"Grill Concepts‐DC, Inc.",Daily Grill,"1200 18TH ST, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B06",C,Restaurant,1200 18TH ST NW
297,"ABRA‐
060762",Active,Maharjan and Lama Inc.,Dalchinni/Le Mirch,"1736 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009",2013,"SMD 
2B01",C,Restaurant,1736 CONNECTICUT AVE NW
946,"ABRA‐
000785",Active,Clinnie M Dickens,Dan's Cafe,"2315 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Tavern,2315 18TH ST NW
599,"ABRA‐
087422",Active,"Dangerously Delicious DC 
LLC",Dangerously Delicious DC,"1339 H ST, NE, WASHINGTON, 
DC 20002",2010,"SMD 
6A06",C,Restaurant,1339 H ST NE
434,"ABRA‐
078028",Active,"Box 20, Inc.","Darlington House: 
Cantina/Kitchen/Library","1610 20TH ST, NW, 
WASHINGTON, DC 20009",2008,"SMD 
2B02",C,Restaurant,1610 20TH ST NW
582,"ABRA‐
086644",Active,"Das Ethiopian, Inc.",Das Ethiopian Cuisine,"1201 28TH ST, NW, 
WASHINGTON, DC 20007",2011,"SMD 
2E06",C,Restaurant,1201 28TH ST NW
798,"ABRA‐
094697",Active,H Street Restaurant LLC,DBGB Kitchen and Bar,"931 H ST, NW, WASHINGTON, 
DC 20001",2014,"SMD 
2C01",C,Restaurant,931 H ST NW
292,"ABRA‐
060747",Active,"Ilija International 
Gourment Shoppe, Inc.",DC Boat House,"5441 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20016",2008,"SMD 
3D04",C,Restaurant,5441 MACARTHUR BLVD NW
1302,"ABRA‐
025007",Active,"DC Grill, Inc.",DC Cafe,"2035 P ST, NW, WASHINGTON, 
DC 20036",2006,"SMD 
2B02",D,Restaurant,2035 P ST NW
207,"ABRA‐
025677",Active,"Passion Food, LLC",DC Coast,"1401 K ST, NW, UNIT A, 
WASHINGTON, DC 20005",c,"SMD 
2F05",C,Restaurant,1401 K ST NW
1342,"ABRA‐
088623",Active,DC Conscious Cafe LLC,DC Conscious Cafe,"1413 H ST, NE, WASHINGTON, 
DC 20002",no,"SMD 
6A06",D,Restaurant,1413 H ST NE
1207,"ABRA‐
093984",Active,Eagle N Exile LLC,DC Eagle,"3701 BENNING RD, NE, STE A, 
WASHINGTON, DC 20019",2015,"SMD 
7F01",C,Tavern,3701 BENNING RD NE
1120,"ABRA‐
087045",Active,Market Bars LLC,DC Reynolds,"3628 GEORGIA AVE, NW, 
WASHINGTON, DC 20010",2012,"SMD 
1A08",C,Tavern,3628 GEORGIA AVE NW
1329,"ABRA‐
086701",Active,"Soze, LLC",DC‐3,"423 8TH ST, SE, WASHINGTON, 
DC 20003",c,"SMD 
6B03",D,Restaurant,423 8TH ST SE
1301,"ABRA‐
024489",Active,"District of Columbia 
Jewish Community 
Center, Inc.",DCJCC,"1529 16TH ST, NW, 
WASHINGTON, DC 20005",,"SMD 
2B05",D,Restaurant,1529 16TH ST NW
1382,"ABRA‐
097611",Active,"Decadence, LLC.",Decadence,"6204 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2015,"SMD 
4A04",D,Restaurant,6204 GEORGIA AVE NW
91,"ABRA‐
001750",Active,"Spring Valley Enterprises, 
Inc.",Decarlos Restaurant,"4822 YUMA ST, NW, 
WASHINGTON, DC 20016",2006,"SMD 
3E02",C,Restaurant,4822 YUMA ST NW
1077,"ABRA‐
082451",Active,ESL DEVELOPMENT LLC,Den of Thieves,"2005 14TH ST, NW, 
WASHINGTON, DC 20009",c,"SMD 
1B12",C,Tavern,2005 14TH ST NW
1095,"ABRA‐
084731",Active,"Desperados Pizza, LLC",Desperados Pizza,"1342 U ST, NW, WASHINGTON, 
DC 20009",2010,"SMD 
1B12",C,Tavern,1342 U ST NW
1254,"ABRA‐
097569",Active,DEW DROP INN  LLC,DEW DROP INN,"2801 8TH ST, NE, WASHINGTON, 
DC 20017",2015,"SMD 
5E01",C,Tavern,2801 8TH ST NE
1075,"ABRA‐
082216",Active,"Dickson THC, LLC",Dickson Wine,"903‐905 U ST, NW, 
WASHINGTON, DC 20001",2010,"SMD 
1B02",C,Tavern,903‐905 U ST NW
1043,"ABRA‐
077455",Active,Jlar LLC,District 2 Bar & Grille,"3238 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",c,"SMD 
3C09",C,Tavern,3238 WISCONSIN AVE NW
978,"ABRA‐
024057",Active,"Walnut Brewery, Inc.","District Chophouse & 
Brewery","509 7TH ST, NW, WASHINGTON, 
DC 20004",2006,"SMD 
2C01",C,Tavern,509 7TH ST NW
575,"ABRA‐
086361",Active,"202 By Pi, LLC",District of Pi,"910 F ST, NW, WASHINGTON, DC 
20004",2011,"SMD 
2C01",C,Restaurant,910 F ST NW
1356,"ABRA‐
092791",Active,DISTRICT TACO LLC,DISTRICT TACO,"656 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2013,"SMD 
6B02",D,Restaurant,656 PENNSYLVANIA AVE SE
774,"ABRA‐
093308",Active,"Ultimo, LLC",Divino Grill,"1633 17TH ST, NW, 
WASHINGTON, DC 20009",c ,"SMD 
2B04",C,Restaurant,1633 17TH ST NW
633,"ABRA‐
088683",Active,Quan LLC,DOI MOI/2 BIRDS 1 STONE,"1800 14TH ST, NW, 
WASHINGTON, DC 20009",2013,"SMD 
2B09",C,Restaurant,1800 14TH ST NW
1235,"ABRA‐
095567",Active,"Dolcezza Gelato Pints, LLC",Dolcezza Gelato,"550 PENN ST, NE, WASHINGTON,
DC 20002",2014,"SMD 
5D01",C,Tavern,550 PENN ST NE
974,"ABRA‐
021925",Active,Jamie T. Carrillo,Don Jaime,"3209 MT PLEASANT ST, NW, 
WASHINGTON, DC 20010",2007,"SMD 
1D04",C,Tavern,3209 MT PLEASANT ST NW
145,"ABRA‐
015934",Active,"Don Juan Restaurant, Inc.","Don Juan Restaurant & 
Carryout","1660 LAMONT ST, NW, 
WASHINGTON, DC 20010",2006,"SMD 
1D04",C,Restaurant,1660 LAMONT ST NW
303,"ABRA‐
060797",Active,Lobo's Inc,Don Lobo's Mexican Grill,"2811 M ST, NW, WASHINGTON, 
DC 20007",2006,"SMD 
2E06",C,Restaurant,2811 M ST NW
862,"ABRA‐
096770",Active,DONBURI  LLC,DONBURI DC,"2438 18TH ST, NW, 
WASHINGTON, DC 20009",2013,"SMD 
1C03",C,Restaurant,2438 18TH ST NW
645,"ABRA‐
089190",Active,"Gordon Restaurant Group 
LLC",DRAFTING TABLE,"1529 14TH ST, NW 201, 
WASHINGTON, DC 20005",2012,"SMD 
2F02",C,Restaurant,1529 14TH ST NW 201
869,"ABRA‐
097053",Active,"Shabby, LLC",Due South,"301 WATER ST, SE, ST,E# 101, 
WASHINGTON, DC 20003",2015,"SMD 
6D07",C,Restaurant,301 WATER ST SE STE
341,"ABRA‐
072469",Active,"Zewdie, Inc.","Dukem Ethiopian 
Restaurant & 
Market/Apple Lounge","1114‐1118 U ST, NW, 
WASHINGTON, DC 20009",2005,"SMD 
1B02",C,Restaurant,1114‐1118 U ST NW
1178,"ABRA‐
091607",Active,"Dunya, LLC","Dunya Restaurant & 
Lounge","801 FLORIDA AVE, NW, 
WASHINGTON, DC 20001",c,"SMD 
1B02",C,Tavern,801 FLORIDA AVE NW
111,"ABRA‐
008949",Active,"HLS, Inc.",Dupont Italian Kitchen,"1637 17TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B04",C,Restaurant,1637 17TH ST NW
197,"ABRA‐
025040",Active,"Panda Rice Bowl, Inc.",East st Cafe,"50 MASSACHUSETTS AVE, NE, 
STE K, WASHINGTON, DC 20002",,"SMD 
6C04",C,Restaurant,50 MASSACHUSETTS AVE NE
248,"ABRA‐
060387",Active,Wu's Corporation,Eat First,"609 H ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,609 H ST NW
1176,"ABRA‐
091602",Active,"Three Chords, LLC","Eat The Rich/Southern 
Efficiency","1839‐1841 7TH ST, NW, 
WASHINGTON, DC 20001",2013,"SMD 
1B01",C,Tavern,1839‐1841 7TH ST NW
444,"ABRA‐
078882",Active,"Eatonville, Inc.",Eatonville,"2121 14TH ST, NW, 
WASHINGTON, DC 20009",c,"SMD 
1B04",C,Restaurant,2121 14TH ST NW
63,"ABRA‐
090250",Active,"Ekho Events, Inc.",Echostage,"2135 QUEENS CHAPEL RD, NE, 
WASHINGTON, DC 20018",2012,"SMD 
5C02",C,Nightclub,2135 QUEENS CHAPEL RD NE
47,"ABRA‐
075424",Active,"Eclipse Restaurant & 
Night Club, Inc.","Eclipse Restaurant & 
Nightclub","2820 BLADENSBURG RD, NE, 
WASHINGTON, DC 20018",2006,"SMD 
5C02",C,Nightclub,2820 BLADENSBURG RD NE
309,"ABRA‐
070876",Active,"El Amigo, Inc.",El Amigo Restaurant,"3612 14TH ST, NW, 
WASHINGTON, DC 20010",2007,"SMD 
1A01",C,Restaurant,3612 14TH ST NW
792,"ABRA‐
094426",Active,"El El Camino, LLC",El Camino,"108 RHODE ISLAND AVE, NW, 
WASHINGTON, DC 20001",2014,"SMD 
5E07",C,Restaurant,108 RHODE ISLAND AVE NW
76,"ABRA‐
000604",Active,"1218 Wisconsin 
Incorporated",El Centro D. F.,"1218 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2013,"SMD 
2E05",C,Restaurant,1218 WISCONSIN AVE NW
545,"ABRA‐
085471",Active,"3313 11th Hospitality, LLC",El Chucho ‐ Cocina Superior,"3313 11TH ST, NW, 
WASHINGTON, DC 20010",2012,"SMD 
1A07",C,Restaurant,3313 11TH ST NW
635,"ABRA‐
088757",Active,El Don LLC,El Don Restaurant,"4403 14TH ST, NW, 
WASHINGTON, DC 20011",2007,"SMD 
4C05",C,Restaurant,4403 14TH ST NW
376,"ABRA‐
075403",Active,"Nispero, LLC",El Nuevo Migueleno,"1721 COLUMBIA RD, NW, 
WASHINGTON, DC 20009",2007,"SMD 
1C06",C,Restaurant,1721 COLUMBIA RD NW
1231,"ABRA‐
095249",Active,"El Pulgarcito, LLC",El Pulgarcito,"5313 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2007,"SMD 
4D01",C,Tavern,5313 GEORGIA AVE NW
223,"ABRA‐
060003",Active,"Solloso, Inc.",El Rincon,"1826 COLUMBIA RD, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C03",C,Restaurant,1826 COLUMBIA RD NW
190,"ABRA‐
024338",Active,Mauricio V. Arias,El Rinconcito Cafe,"1129 11TH ST, NW, 
WASHINGTON, DC 20001",2006,"SMD 
2F06",C,Restaurant,1129 11TH ST NW
322,"ABRA‐
071179",Active,"El Tamarindo, Inc.","El Tamarindo Adam 
Morgan","1785 FLORIDA AVE, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C07",C,Restaurant,1785 FLORIDA AVE NW
335,"ABRA‐
072165",Active,"El Cuscatleco Carry‐Out, 
Inc.",El Torogoz Restaurant,"4231 9TH ST, NW, 
WASHINGTON, DC 20011",2006,"SMD 
4C07",C,Restaurant,4231 9TH ST NW
875,"ABRA‐
097368",Active,"DTRS, Washington, LLC",Eno Wine Bar,"2810 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20007",2013,"SMD 
2E05",C,Restaurant,2810 PENNSYLVANIA AVE NW
429,"ABRA‐
077576",Active,"Vigor Restaurant, LLC",Epicurean and Company,"3800 RESERVOIR RD, NW, 
WASHINGTON, DC 20057",,"SMD 
2E01",C,Restaurant,3800 RESERVOIR RD NW
547,"ABRA‐
085720",Active,"Epicurean Foods, LLC",Epicurean and Company,"4250 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",,"SMD 
3F01",C,Restaurant,4250 CONNECTICUT AVE NW
218,"ABRA‐
026656",Active,"Harvest Moon, Inc.",Equinox,"818 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20006",2006,"SMD 
2B05",C,Restaurant,818 CONNECTICUT AVE NW
860,"ABRA‐
096730",Active,"Equinox SC D.C., Inc.",Equinox Sports Club,"1170 22ND ST, NW, 
WASHINGTON, DC 20037",,"SMD 
2A06",C,Restaurant,1170 22ND ST NW
504,"ABRA‐
083263",Active,"Credo, LLC",Estadio,"1520 14TH ST, NW, 
WASHINGTON, DC 20005",2010,"SMD 
2F02",C,Restaurant,1520 14TH ST NW
439,"ABRA‐
078332",Active,"A Modo Mio, Inc.",Et Voila,"5120 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20016",2008,"SMD 
3D05",C,Restaurant,5120 MACARTHUR BLVD NW
503,"ABRA‐
083149",Active,Ethiopic Corp,Ethiopic Restaurant,"401 H ST, NE, WASHINGTON, DC 
20002",2009,"SMD 
6C04",C,Restaurant,401 H ST NE
628,"ABRA‐
088504",Active,1541 Q LLC,Etto,"1541 14TH ST, NW, 
WASHINGTON, DC 20005",2013,"SMD 
2F02",C,Restaurant,1541 14TH ST NW
1226,"ABRA‐
095047",Active,"Fair and Balanced, LLC",Evolve Vegan Restaurant,"341 CEDAR ST, NW, 
WASHINGTON, DC 20012",2014,"SMD 
4B01",C,Tavern,341 CEDAR ST NW
86,"ABRA‐
001269",Active,"Exchange Industries, 
Incorporated","Exchange, LTD.","1730 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20006",,"SMD 
2A08",C,Restaurant,1730 PENNSYLVANIA AVE NW
306,"ABRA‐
060872",Active,"Expo Restaurant & 
Lounge, Inc.",Expo Restaurant & Lounge,"1928 9TH ST, NW, 
WASHINGTON, DC 20001",2007,"SMD 
1B02",C,Restaurant,1928 9TH ST NW
985,"ABRA‐
025663",Active,Washington Irish Pub LLC,"Fado Irish Pub & 
Restaurant","804 7TH ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Tavern,804 7TH ST NW
1170,"ABRA‐
091244",Active,District Pub Group L.L.L.,Fainting Goat,"1330 U ST, NW, WASHINGTON, 
DC 20009",2013,"SMD 
1B12",C,Tavern,1330 U ST NW
1315,"ABRA‐
083216",Active,"Mariamawit, LLC",Fasika,"4422 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",c,"SMD 
4C07",D,Restaurant,4422 GEORGIA AVE NW
771,"ABRA‐
093092",Active,Z CAPITAL GRILL   INC,FELICITA PIZZERIA,"4720 14TH ST, NW, 
WASHINGTON, DC 20011",2013,"SMD 
4C02",C,Restaurant,4720 14TH ST NW
880,"ABRA‐
097488",Active,"Fig & Olive DC, LLC",Fig & Olive,"934 PALMER ALLEY, NW, 
WASHINGTON, DC",2015,"SMD 
2C01",C,Restaurant,934 PALMER ALLEY NW
95,"ABRA‐
003618",Active,"Georgetown Restaurant, 
Corp.",Filomena,"1063 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E05",C,Restaurant,1063 WISCONSIN AVE NW
221,"ABRA‐
041370",Active,"Firehook Bakers 
Cleveland Park, Inc.",Firehook Bakery,"3411 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",,"SMD 
3C04",C,Restaurant,3411 CONNECTICUT AVE NW
775,"ABRA‐
093399",Active,"Fishnet Restaurant DC, 
LLC",Fishnet DC,"1819 7TH ST, NW, 
WASHINGTON, DC 20001",c,"SMD 
1B01",C,Restaurant,1819 7TH ST NW
733,"ABRA‐
091704",Active,"Purple Feet, LLC",Flight,"777 6TH ST, NW, WASHINGTON, 
DC 20001",2014,"SMD 
2C03",C,Restaurant,777 6TH ST NW
522,"ABRA‐
084579",Active,Tapper LLC,Floriana,"1602 17TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B03",C,Restaurant,1602 17TH ST NW
418,"ABRA‐
077061",Active,Founding Farmers LLC,Founding Farmers,"1900 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20037",2008,"SMD 
2A08",C,Restaurant,1900 PENNSYLVANIA AVE NW
685,"ABRA‐
090412",Active,Froggy Times Inc,Froggy Bottom Pub,"2021 K ST, NW, WASHINGTON, 
DC 20006",2013,"SMD 
2A06",C,Restaurant,2021 K ST NW
789,"ABRA‐
094010",Active,G Street Food 15 LLC,G Street Food,"1030 15TH ST, NW, 
WASHINGTON, DC 20005",2014,"SMD 
2B05",C,Restaurant,1030 15TH ST NW
513,"ABRA‐
083769",Active,"BCI Food Services, LLC",Garden District,"1801 14TH ST, NW, 
WASHINGTON, DC 20009",2011,"SMD 
1B12",C,Restaurant,1801 14TH ST NW
33,"ABRA‐
060369",Active,Dupont Imp LLC,Gazuza,"1629 CONNECTICUT AVE, NW, 
UNIT A, WASHINGTON, DC 
20009",2006,"SMD 
2B03",C,Nightclub,1629 CONNECTICUT AVE NW
696,"ABRA‐
090634",Active,"NEIGHBORHOOD 
RESTAURANT GROUP 
XVII, LLC","GBD Fried Chicken & 
Doughnuts","1323 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",c,"SMD 
2B07",C,Restaurant,1323 CONNECTICUT AVE NW
420,"ABRA‐
077127",Active,"GBR‐DC, LLC",Georgia Brown's,"950 15TH ST, NW, 
WASHINGTON, DC 20005",2006,"SMD 
2B05",C,Restaurant,950 15TH ST NW
1360,"ABRA‐
092843",Active,Giant of Maryland LLC,Giant #2376,"1400 7TH ST, NW, 
WASHINGTON, DC 20001",,"SMD 
6E01",D,Restaurant,1400 7TH ST NW
1375,"ABRA‐
095376",Active,Giant of Maryland LLC,Giant #2379,"3336 WISCONSIN AVE, NW, 
WASHINGTON, DC 20016",,"SMD 
3C07",D,Restaurant,3336 WISCONSIN AVE NW
1346,"ABRA‐
090078",Active,"GLEN'S GARDEN MARKET 
LLC",Glen's Garden Market,"2001 S ST, NW, WASHINGTON, 
DC 20009",,"SMD 
2B01",D,Restaurant,2001 S ST NW
1392,"ABRA‐
100251",Active,"Glen's Shaw, LLC","Glen's Garden Market 
Shaw","1924 8TH ST, NW, 
WASHINGTON, DC 20001",,"SMD 
2C01",D,Restaurant,1924 8TH ST NW
647,"ABRA‐
089350",Active,"Good Stuff Eatery 
Georgetown , LLC",Good Stuff Eatery,"3291 M ST, NW, WASHINGTON, 
DC 20007",2013,"SMD 
2E05",C,Restaurant,3291 M ST NW
1309,"ABRA‐
078027",Active,"Sunnyside Group, LLC",Good Stuff Eatery,"303 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2008,"SMD 
6B01",D,Restaurant,303 PENNSYLVANIA AVE SE
242,"ABRA‐
060326",Active,"Big River Breweries, LTD","Gordon Biersch Brewery 
Restaurant","900 F ST, NW, UNIT B, 
WASHINGTON, DC 20004",2006,"SMD 
2C01",C,Restaurant,900 F ST NW
705,"ABRA‐
090968",Active,"BIG RIVER BREWERIES, 
INC","Gordon Biersch Brewery 
Restaurant","100 M ST, SE, WASHINGTON, DC 
20003",2013,"SMD 
6D07",C,Restaurant,100 M ST SE
577,"ABRA‐
086500",Active,"Isabella Bella, LLC",Graffiato,"707 6TH ST, NW, WASHINGTON, 
DC 20001",2011,"SMD 
2C03",C,Restaurant,707 6TH ST NW
348,"ABRA‐
072792",Active,"Granville Moore's 
Brickyard LLC",Granville Moore's Brickyard,"1238 H ST, NE, WASHINGTON, 
DC 20002",2007,"SMD 
6A01",C,Restaurant,1238 H ST NE
1333,"ABRA‐
087344",Active,KLYS Inc.,Great Wall Szechuan House,"1527 14TH ST, NW, 
WASHINGTON, DC 20005",2006,"SMD 
2F02",D,Restaurant,1527 14TH ST NW
34,"ABRA‐
060411",Active,"Carriage House, LLC",Green Lantern/Tool Shed,"1335 GREEN CT NW, 
WASHINGTON, DC 20005",2007,"SMD 
2F05",C,Nightclub,1335 GREEN CT NW
149,"ABRA‐
016332",Active,"Guapo's Restaurant, Inc.",Guapo's Restaurant,"4515‐4517 WISCONSIN AVE, 
NW, WASHINGTON, DC 20016",2006,"SMD 
3E01",C,Restaurant,4515‐4517 WISCONSIN AVE NW
188,"ABRA‐
024197",Active,"Multi‐management, Inc.",Habana Village,"1834 COLUMBIA RD, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C03",C,Restaurant,1834 COLUMBIA RD NW
1387,"ABRA‐
098754",Active,"Blue Zone, LLC",Halsa,"655 MICHIGAN AVE, NE, 
WASHINGTON, DC 20017",c,"SMD 
5E01",D,Restaurant,655 MICHIGAN AVE NE
1152,"ABRA‐
090214",Active,"HHLP DC Convention 
Center","Hampton Inn ‐ DC 
Convention Center","901 6TH ST, NW, WASHINGTON, 
DC 20001",,"SMD 
6E05",C,Tavern,901 6TH ST NW
330,"ABRA‐
071913",Active,"Leeds The Way, LLC",Hank's Oyster Bar,"1622‐1624 Q ST, NW, 
WASHINGTON, DC 20009",2005,"SMD 
2B05",C,Restaurant,1622‐1624 Q ST NW
1378,"ABRA‐
096125",Active,Hans Pedr' LLC,"Hans Pedr' Kaffe & 
Restaurant","1781 FLORIDA AVE, NW, 
WASHINGTON, DC 20009",2015,"SMD 
1C07",D,Restaurant,1781 FLORIDA AVE NW
137,"ABRA‐
014130",Active,"Hard Rock Cafe 
International (STP), Inc.",Hard Rock Cafe,"999 E ST, NW, WASHINGTON, DC 
20004",2006,"SMD 
2C01",C,Restaurant,999 E ST NW
973,"ABRA‐
021562",Active,J.W.B. Inc.,Harry's,"436 11TH ST, NW, 
WASHINGTON, DC 20004",2007,"SMD 
2C01",C,Tavern,436 11TH ST NW
32,"ABRA‐
060187",Active,Haydee Corporation,Haydee's 2000,"6303 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2009,"SMD 
4B03",C,Nightclub,6303 GEORGIA AVE NW
980,"ABRA‐
024663",Active,NHV Corporation,Haydee's Restaurant,"3102 MT PLEASANT ST, NW, 
WASHINGTON, DC 20010",2006,"SMD 
1D04",C,Tavern,3102 MT PLEASANT ST NW
617,"ABRA‐
088224",Active,Hikari Corporation,Hikari Sushi & Sake Bar,"644 H ST, NE, WASHINGTON, DC 
20002",2013,"SMD 
6C05",C,Restaurant,644 H ST NE
510,"ABRA‐
083696",Active,"Hill Country DC, LLC",Hill Country,"410 7TH ST, NW, WASHINGTON, 
DC 20004",2011,"SMD 
2C03",C,Restaurant,410 7TH ST NW
1394,"ABRA‐
085095",Active,"RLJ III ‐ HS Washington, 
DC Lessee, LLC",Homewood Suites,"1475 MASSACHUSETTS AVE, 
NW, WASHINGTON, DC 20005",,"SMD 
2F03",D,Tavern,1475 MASSACHUSETTS AVE NW
