"","street","LICENSE..","STATUS","APPLICANT","TRADE.NAME","ADDRESS","SMD","CLASS","DESCRIPTION","Selection.DATE","Month.Sort","FY.Sort","Applicant","Owner.Name"
"478","1400 IRVING ST NW","ABRA‐
078677","Active","Wilkinson‐Mehr Group, 
LLC","Pete's New Haven Style 
Pizza","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","D","Restaurant","APR 2008",200804,"FY2008","","1400 IRVING, LLC."
"479","1400 IRVING ST NW","ABRA‐
078677","Active","Wilkinson‐Mehr Group, 
LLC","Pete's New Haven Style 
Pizza","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","D","Restaurant","JUN 2008",200806,"FY2008","","1400 IRVING, LLC."
"480","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2012",201206,"FY2012","IRVING RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"481","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2012",201206,"FY2012","HIGHLAND RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"482","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","MAY 2011",201105,"FY2011","HIGHLAND RESTAURANT GROUP,LLC","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"483","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","AUG 2008",200808,"FY2008","","1400 IRVING, LLC."
"484","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","APR 2008",200804,"FY2008","","1400 IRVING, LLC."
"485","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","FEB 2011",201102,"FY2011","IRVING RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"486","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","OCT 2009",200910,"FY2009","CLOVER HIGHLAND PARK, LLC.","CLOVER HIGHLAND PARK, LLC."
"487","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","APR 2008",200804,"FY2008","","1400 IRVING, LLC."
"488","1400 IRVING ST NW","ABRA‐
086419","Active","Irving Restaurant Group, 
LLC","Lou's Bar & Grill","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2008",200806,"FY2008","","1400 IRVING, LLC."
"489","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2012",201206,"FY2012","IRVING RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"490","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2012",201206,"FY2012","HIGHLAND RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"491","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","MAY 2011",201105,"FY2011","HIGHLAND RESTAURANT GROUP,LLC","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"492","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","AUG 2008",200808,"FY2008","","1400 IRVING, LLC."
"493","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","APR 2008",200804,"FY2008","","1400 IRVING, LLC."
"494","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","FEB 2011",201102,"FY2011","IRVING RESTAURANT GROUP, LLC.","COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC"
"495","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","OCT 2009",200910,"FY2009","CLOVER HIGHLAND PARK, LLC.","CLOVER HIGHLAND PARK, LLC."
"496","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","APR 2008",200804,"FY2008","","1400 IRVING, LLC."
"497","1400 IRVING ST NW","ABRA‐
086384","Active","Highland Restaurant 
Group LLC","Acre 121","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03","C","Tavern","JUN 2008",200806,"FY2008","","1400 IRVING, LLC."
"500","1406 FLORIDA AVE NW","ABRA‐
085707","Active","Pica Taco, Inc.","Pica Taco","1406 FLORIDA AVE, NW, 
WASHINGTON, DC 20009","SMD 
1B04","D","Restaurant","JUL 2005",200507,"FY2005","","AB QUMSEYA, LLC."
"501","1406 FLORIDA AVE NW","ABRA‐
085707","Active","Pica Taco, Inc.","Pica Taco","1406 FLORIDA AVE, NW, 
WASHINGTON, DC 20009","SMD 
1B04","D","Restaurant","JAN 2008",200801,"FY2008","","AB QUMSEYA, LLC."
"502","1406 FLORIDA AVE NW","ABRA‐
085707","Active","Pica Taco, Inc.","Pica Taco","1406 FLORIDA AVE, NW, 
WASHINGTON, DC 20009","SMD 
1B04","D","Restaurant","APR 2010",201004,"FY2010","","JESSICA L RACINE-WHITE TRUSTEE"
"506","1413 K ST NW","ABRA‐
075156","Active","Inner Circle 1413, LLC","Tattoo","1413 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2F05","C","Nightclub","SEP 2007",200709,"FY2007","","1413 INNER CIRCLE, LLC."
"507","1413 K ST NW","ABRA‐
075156","Active","Inner Circle 1413, LLC","Tattoo","1413 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2F05","C","Nightclub","NOV 2007",200711,"FY2007","","1413 INNER CIRCLE, LLC."
"509","1421 H ST NE","ABRA‐
094881","Active","Two Foxes, LLC","The Pursuit","1421 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06","C","Restaurant","MAY 2014",201405,"FY2014","","H STREET PROPERTIES, LLC"
"510","1421 H ST NE","ABRA‐
094881","Active","Two Foxes, LLC","The Pursuit","1421 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06","C","Restaurant","NOV 2013",201311,"FY2013","","H STREET PROPERTIES, LLC"
"512","1423 P ST NW","ABRA‐
060706","Active","Logan Dining, LLC","Logan Tavern","1423 P ST, NW, WASHINGTON, 
DC 20005","SMD 
2F02","C","Restaurant","JAN 2008",200801,"FY2008","","LOGAN DINING, LLC"
"513","1423 P ST NW","ABRA‐
060706","Active","Logan Dining, LLC","Logan Tavern","1423 P ST, NW, WASHINGTON, 
DC 20005","SMD 
2F02","C","Restaurant","SEP 2003",200309,"FY2003","","SJG PROPERTIES"
"514","1424 PARK RD NW","ABRA‐
096613","Active","MI CUBA CAFE, INC","MI CUBA CAFE","1424 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A05","C","Restaurant","JAN 2004",200401,"FY2004","","A HORA EXPRESS, INC."
"515","1424 PARK RD NW","ABRA‐
096613","Active","MI CUBA CAFE, INC","MI CUBA CAFE","1424 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A05","C","Restaurant","AUG 2003",200308,"FY2003","","A HORA EXPRESS, INC."
"516","1424 PARK RD NW","ABRA‐
096613","Active","MI CUBA CAFE, INC","MI CUBA CAFE","1424 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A05","C","Restaurant","DEC 2012",201212,"FY2012","","JOSEFINA AYALA"
"517","1424 PARK RD NW","ABRA‐
096613","Active","MI CUBA CAFE, INC","MI CUBA CAFE","1424 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A05","C","Restaurant","AUG 2010",201008,"FY2010","SARANAHUM GROUP, LLC","JOSEFINA AYALA"
"518","1426 H ST NW","ABRA‐
090596","Active","Par Baked  LLC (duplicate 
issued 08/27/2013","Woodward 
Table/WTF(Woodward","1426 H ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01","C","Restaurant","SEP 2012",201209,"FY2012","","SJG PROPERTIES"
"519","1426 H ST NW","ABRA‐
090596","Active","Par Baked  LLC (duplicate 
issued 08/27/2013","Woodward 
Table/WTF(Woodward","1426 H ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01","C","Restaurant","FEB 2009",200902,"FY2009","MESCHES","H AND 15TH LLC"
"521","1433 H ST NE","ABRA‐
072672","Active","The Argonaut, LLC","The Argonaut","1433 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06","C","Restaurant","JUN 2005",200506,"FY2005","","1433 H STREET LLC"
"522","1433 H ST NE","ABRA‐
072672","Active","The Argonaut, LLC","The Argonaut","1433 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06","C","Restaurant","AUG 2005",200508,"FY2005","","THE ARGONAUT"
"526","1501 9TH ST NW","ABRA‐
095700","Active","CHAPLIN RESTAURANT 
DC LLC","CHAPLIN","1501 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","AUG 2013",201308,"FY2013","","MYINT FAMILY LLC"
"527","1501 9TH ST NW","ABRA‐
095700","Active","CHAPLIN RESTAURANT 
DC LLC","CHAPLIN","1501 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","JUL 2014",201407,"FY2014","","MYINT FAMILY LLC"
"528","1501 9TH ST NW","ABRA‐
095700","Active","CHAPLIN RESTAURANT 
DC LLC","CHAPLIN","1501 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","JUL 2014",201407,"FY2014","","MYINT FAMILY LLC"
"529","1501 9TH ST NW","ABRA‐
095700","Active","CHAPLIN RESTAURANT 
DC LLC","CHAPLIN","1501 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","SEP 2013",201309,"FY2013","","MYINT FAMILY LLC"
"530","1501 K ST NW","ABRA‐
095922","Active","Adams Restaurant Group 
Inc","Claudia's Steakhouse","1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05","C","Restaurant","JAN 2009",200901,"FY2009","JORGEN  PETERSEN; SEASONS CULINARY SERVICES","SEASONS CULINARY SERVICES"
"531","1501 K ST NW","ABRA‐
095922","Active","Adams Restaurant Group 
Inc","Claudia's Steakhouse","1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05","C","Restaurant","SEP 2010",201009,"FY2010","CAPITOL C RESTAURANTS LLC","I B ASSOCIATES LIMITED PARTNERSHIP"
"532","1501 K ST NW","ABRA‐
095922","Active","Adams Restaurant Group 
Inc","Claudia's Steakhouse","1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05","C","Restaurant","MAY 2015",201505,"FY2015","","I B ASSOCIATES LIMITED PARTNERSHIP"
"533","1501 K ST NW","ABRA‐
095922","Active","Adams Restaurant Group 
Inc","Claudia's Steakhouse","1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05","C","Restaurant","DEC 2001",200112,"FY2001","","I B ASSOCIATES LMTD PARTNERSHIP."
"534","1501 K ST NW","ABRA‐
095922","Active","Adams Restaurant Group 
Inc","Claudia's Steakhouse","1501 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2B05","C","Restaurant","MAY 2015",201505,"FY2015","","I B ASSOCIATES LIMITED PARTNERSHIP"
"536","1503 9TH ST NW","ABRA‐
073644","Active","Queen of Sheba, Inc.","Queen of Sheba","1503 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","JAN 2006",200601,"FY2006","","LI"
"537","1503 9TH ST NW","ABRA‐
073644","Active","Queen of Sheba, Inc.","Queen of Sheba","1503 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","JUL 2005",200507,"FY2005","","LI"
"538","1513 17TH ST NW","ABRA‐
092298","Active","Shoreditch Cooperatve 
LLC","Duke's Grocery","1513 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","JUL 2013",201307,"FY2013","SHOREDITCH  COOPERATIVE, LLC","MON GONG LEE ENTERPRISES LLC"
"539","1513 17TH ST NW","ABRA‐
092298","Active","Shoreditch Cooperatve 
LLC","Duke's Grocery","1513 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","JUN 2007",200706,"FY2007","","STONE"
"540","1513 17TH ST NW","ABRA‐
092298","Active","Shoreditch Cooperatve 
LLC","Duke's Grocery","1513 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","FEB 2009",200902,"FY2009","JAVA GREEN COFFEE & TEA, INC.","JAVA GREEN COFFEE & TEA, INC."
"541","1514 NORTH CAPITOL ST NW","ABRA‐
096522","Active","SEB, INC.","Uncle Chip's","1514 NORTH CAPITOL ST, NW, 
WASHINGTON, DC 20002","SMD 
5E05","C","Tavern","SEP 2014",201409,"FY2014","","BARNES & BOYLE LLC"
"542","1514 NORTH CAPITOL ST NW","ABRA‐
096522","Active","SEB, INC.","Uncle Chip's","1514 NORTH CAPITOL ST, NW, 
WASHINGTON, DC 20002","SMD 
5E05","C","Tavern","SEP 2014",201409,"FY2014","","BARNES & BOYLE LLC"
"543","1515 14TH ST NW","ABRA‐
079141","Active","Fasa, LLC","Posto","1515 14TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F02","C","Restaurant","JUN 2008",200806,"FY2008","","P & Q LLC"
"544","1515 14TH ST NW","ABRA‐
079141","Active","Fasa, LLC","Posto","1515 14TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F02","C","Restaurant","NOV 2005",200511,"FY2005","","P & Q LLC"
"549","1523 17TH ST NW","ABRA‐
072743","Active","Pasha International Inc.","Pasha's Kitchen","1523 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","MAR 2005",200503,"FY2005","","COLANECO"
"550","1523 17TH ST NW","ABRA‐
072743","Active","Pasha International Inc.","Pasha's Kitchen","1523 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","MAY 2005",200505,"FY2005","","COLANECO"
"551","1523 17TH ST NW","ABRA‐
072743","Active","Pasha International Inc.","Pasha's Kitchen","1523 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","SEP 2012",201209,"FY2012","PASHA INTERNATIONAL INC","1523 17TH STREET LLC"
"553","1527 17TH ST NW","ABRA‐
098029","Active","Agora Inc","Agora","1527 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","MAY 2011",201105,"FY2011","AGORA  INC.","GLAD LLC"
"554","1527 17TH ST NW","ABRA‐
098029","Active","Agora Inc","Agora","1527 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","MAR 2010",201003,"FY2010","AGORA  INC.","1527 17TH ST LLC"
"555","1527 17TH ST NW","ABRA‐
098029","Active","Agora Inc","Agora","1527 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Restaurant","JUL 2002",200207,"FY2002","","COLANECO"
"556","1528 CONNECTICUT AVE NW","ABRA‐
083793","Active","BGR DuPont, LLC","BGR The Burger Joint","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","D","Restaurant","SEP 2015",201509,"FY2015","","DUPONT CIRCLE METRO LLC"
"557","1528 CONNECTICUT AVE NW","ABRA‐
083793","Active","BGR DuPont, LLC","BGR The Burger Joint","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","D","Restaurant","APR 2010",201004,"FY2010","B G R DUPONT , LLC.","PNC BANK NATL ASSOCIATION"
"558","1528 CONNECTICUT AVE NW","ABRA‐
083793","Active","BGR DuPont, LLC","BGR The Burger Joint","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","D","Restaurant","NOV 2009",200911,"FY2009","B G R DUPONT,  LLC","PNC BANK NATL ASSOCIATION"
"559","1528 CONNECTICUT AVE NW","ABRA‐
098308","Active","Fast Good LLC","Beefsteak","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","C","Restaurant","SEP 2015",201509,"FY2015","","DUPONT CIRCLE METRO LLC"
"560","1528 CONNECTICUT AVE NW","ABRA‐
098308","Active","Fast Good LLC","Beefsteak","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","C","Restaurant","APR 2010",201004,"FY2010","B G R DUPONT , LLC.","PNC BANK NATL ASSOCIATION"
"561","1528 CONNECTICUT AVE NW","ABRA‐
098308","Active","Fast Good LLC","Beefsteak","1528 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B02","C","Restaurant","NOV 2009",200911,"FY2009","B G R DUPONT,  LLC","PNC BANK NATL ASSOCIATION"
"562","1529 WISCONSIN AVE NW","ABRA‐
096169","Active","Yummi Crawfish & 
Seafood Restaurant, LLC","Yummi Crawfish","1529 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E03","C","Restaurant","JUL 2015",201507,"FY2015","","1529 WISCONSIN AV NW LTD PRTNSHP"
"563","1529 WISCONSIN AVE NW","ABRA‐
096169","Active","Yummi Crawfish & 
Seafood Restaurant, LLC","Yummi Crawfish","1529 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E03","C","Restaurant","AUG 2014",201408,"FY2014","","1529 WISCONSIN AV NW LTD PRTNSHP"
"566","1550 7TH ST NW","ABRA‐
095815","Active","Beau Thai Shaw, LLC","Beau Thai","1550 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","DEC 2014",201412,"FY2014","","KELSEY GARDENS PROPERTY COMPANY LLC"
"567","1550 7TH ST NW","ABRA‐
095815","Active","Beau Thai Shaw, LLC","Beau Thai","1550 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","DEC 2014",201412,"FY2014","","KELSEY GARDENS PROPERTY COMPANY LLC"
"568","1564 WISCONSIN AVE NW","ABRA‐
079261","Active","Los Cuates Restaurant 
Inc.","Los Cuates Restaurant","1564 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02","C","Restaurant","APR 2012",201204,"FY2012","LOS CUATES RESTAURANT, INC.","RS HOLDINGS LLC"
"569","1564 WISCONSIN AVE NW","ABRA‐
079261","Active","Los Cuates Restaurant 
Inc.","Los Cuates Restaurant","1564 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02","C","Restaurant","APR 2008",200804,"FY2008","","EDWARD JONES"
"570","1564 WISCONSIN AVE NW","ABRA‐
079261","Active","Los Cuates Restaurant 
Inc.","Los Cuates Restaurant","1564 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02","C","Restaurant","JUL 2002",200207,"FY2002","","EDWARD JONES"
"571","1564 WISCONSIN AVE NW","ABRA‐
079261","Active","Los Cuates Restaurant 
Inc.","Los Cuates Restaurant","1564 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E02","C","Restaurant","FEB 2004",200402,"FY2004","","EDWARD JONES"
"572","1600 7TH ST NW","ABRA‐
092773","Active","DACI ENTERPRISES, LLC","DACHA BEER GARDEN","1600 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","D","Tavern","NOV 2014",201411,"FY2014","","NA LIN"
"573","1600 7TH ST NW","ABRA‐
092773","Active","DACI ENTERPRISES, LLC","DACHA BEER GARDEN","1600 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","D","Tavern","FEB 2014",201402,"FY2014","","NA LIN"
"574","1600 7TH ST NW","ABRA‐
092773","Active","DACI ENTERPRISES, LLC","DACHA BEER GARDEN","1600 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","D","Tavern","OCT 2014",201410,"FY2014","","NA LIN"
"575","1600 K ST NW","ABRA‐
084688","Active","P.J. Clarke's Washington 
LLC","P.J. Clarke's And SideCar","1600 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05","C","Restaurant","DEC 2003",200312,"FY2003","","VERIZON"
"576","1600 K ST NW","ABRA‐
084688","Active","P.J. Clarke's Washington 
LLC","P.J. Clarke's And SideCar","1600 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05","C","Restaurant","OCT 2006",200610,"FY2006","","STUDIO 27 ARCHCHITECTURE LLC"
"577","1600 K ST NW","ABRA‐
084688","Active","P.J. Clarke's Washington 
LLC","P.J. Clarke's And SideCar","1600 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05","C","Restaurant","SEP 2010",201009,"FY2010","","1600 CAPITAL ASSOCIATES LLC"
"580","1601 CONNECTICUT AVE NW","ABRA‐
076074","Active","MHG Cafe Dupont, LLC","Circa at Dupont","1601 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B03","C","Restaurant","MAR 2007",200703,"FY2007","","INDULGE, LLC"
"581","1601 CONNECTICUT AVE NW","ABRA‐
076074","Active","MHG Cafe Dupont, LLC","Circa at Dupont","1601 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009","SMD 
2B03","C","Restaurant","FEB 2002",200202,"FY2002","","INDULGE, LLC"
"582","1601 RHODE ISLAND AVE NE","ABRA‐
094158","Active","ICH Prop LLC","The Public Option","1601 RHODE ISLAND AVE, NE, 
WASHINGTON, DC 20018","SMD 
5C06","C","Tavern","JUL 2010",201007,"FY2010","CATHERINE HUBEN & WILLIAM PERRY","CATHERINE HUBEN & WILLIAM PERRY"
"583","1601 RHODE ISLAND AVE NE","ABRA‐
094158","Active","ICH Prop LLC","The Public Option","1601 RHODE ISLAND AVE, NE, 
WASHINGTON, DC 20018","SMD 
5C06","C","Tavern","DEC 2013",201312,"FY2013","","WILLIAM D PERRY  JR"
"584","1606 20TH ST NW","ABRA‐
094290","Active","Hilltop Hospitality, LLC","Mission","1606 20TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B02","C","Restaurant","DEC 2011",201112,"FY2011","EUROPEAN RESTAURANT GROUP LLC","NIMAKLEO LLC"
"585","1606 20TH ST NW","ABRA‐
094290","Active","Hilltop Hospitality, LLC","Mission","1606 20TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B02","C","Restaurant","FEB 2014",201402,"FY2014","","NIMAKLEO LLC"
"586","1606 20TH ST NW","ABRA‐
094290","Active","Hilltop Hospitality, LLC","Mission","1606 20TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2B02","C","Restaurant","SEP 2009",200909,"FY2009","EUROPEAN RESTAURANT GROUP LLC","NIMAKLEO LLC"
"587","1606 K ST NW","ABRA‐
088452","Active","1606 K, LLC","Fuel Pizza & Wings","1606 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05","C","Restaurant","APR 2012",201204,"FY2012","","T E S REALTY CO"
"588","1606 K ST NW","ABRA‐
088452","Active","1606 K, LLC","Fuel Pizza & Wings","1606 K ST, NW, WASHINGTON, 
DC 20006","SMD 
2B05","C","Restaurant","JAN 2012",201201,"FY2012","FUEL  PIZZA","T E S REALTY CO"
"590","1608 7TH ST NW","ABRA‐
081849","Active","Fasil Ethiopian 
Restaurant, LLC","Uptown Ethiopian Fusion 
Cuisine","1608 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","NOV 2013",201311,"FY2013","","1608 7TH ST, LLC"
"591","1608 7TH ST NW","ABRA‐
081849","Active","Fasil Ethiopian 
Restaurant, LLC","Uptown Ethiopian Fusion 
Cuisine","1608 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","FEB 2009",200902,"FY2009","","FASIL ETHIOPIAN RESTAURANT"
"592","1608 7TH ST NW","ABRA‐
081849","Active","Fasil Ethiopian 
Restaurant, LLC","Uptown Ethiopian Fusion 
Cuisine","1608 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","SEP 2012",201209,"FY2012","","FASIL ETHIOPIAN RESTAURANT"
"593","1608 7TH ST NW","ABRA‐
081849","Active","Fasil Ethiopian 
Restaurant, LLC","Uptown Ethiopian Fusion 
Cuisine","1608 7TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E01","C","Restaurant","JUN 2011",201106,"FY2011","ETHIOPIAN FASIL RESTAURANT","1608 7TH ST, LLC"
"594","1610 14TH ST NW","ABRA‐
088785","Active","HGH 1610 LLC","Ghibellina/Sotto","1610 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2F01","C","Tavern","MAY 2013",201305,"FY2013","","HGH 1610, LLC"
"595","1610 14TH ST NW","ABRA‐
088785","Active","HGH 1610 LLC","Ghibellina/Sotto","1610 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2F01","C","Tavern","OCT 2001",200110,"FY2001","","RICHMOND"
"596","1610 14TH ST NW","ABRA‐
088785","Active","HGH 1610 LLC","Ghibellina/Sotto","1610 14TH ST, NW, 
WASHINGTON, DC 20009","SMD 
2F01","C","Tavern","JUN 2012",201206,"FY2012","HGH  1610","1610 14TH ST LLC"
"605","1633 P ST NW","ABRA‐
100279","Active","NazcaMochica 
Restaurant, LLC","Nazca Restaurant/ Mochica 
Restaurant","1633 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B05","C","Restaurant","AUG 2012",201208,"FY2012","ATA  CORPORATION","AMS LP"
"606","1633 P ST NW","ABRA‐
100279","Active","NazcaMochica 
Restaurant, LLC","Nazca Restaurant/ Mochica 
Restaurant","1633 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B05","C","Restaurant","JAN 2011",201101,"FY2011","CAFE LUNA /SKEWERS","YASIR SHALLAL"
"607","1633 P ST NW","ABRA‐
100279","Active","NazcaMochica 
Restaurant, LLC","Nazca Restaurant/ Mochica 
Restaurant","1633 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B05","C","Restaurant","JUN 2012",201206,"FY2012","","AMS LP"
"608","1633 P ST NW","ABRA‐
100279","Active","NazcaMochica 
Restaurant, LLC","Nazca Restaurant/ Mochica 
Restaurant","1633 P ST, NW, WASHINGTON, 
DC 20036","SMD 
2B05","C","Restaurant","AUG 2012",201208,"FY2012","ATA  CORPORATION","AMS LP"
