,Names,Streets,Towns,TownsPlanning,Type,Type2
1651,Brewery In Planning - Valley Village, ,",  ", ,Type: Planning,Brewery In Planning - Valparaiso
1652,Brewery In Planning - Valparaiso, ,"Valparaiso, IN 46385", ,Type: Planning,Brewery In Planning - Vancouver
1653,Brewery In Planning - Vancouver, ,"Vancouver, BC ", ,Type: Planning,Brewery In Planning - Venice
1654,Brewery In Planning - Venice, ,",  ", ,Type: Planning,Brewery In Planning - Venice
1655,Brewery In Planning - Venice, ,"Venice, CA 90291-2707", ,Type: Planning,Brewery In Planning - Ventura
1656,Brewery In Planning - Ventura, ,"Ventura, CA 93001", ,Type: Planning,Brewery In Planning - Vernon Hills
1657,Brewery In Planning - Vernon Hills, ,"Vernon Hills, IL 60061-1007", ,Type: Planning,Brewery In Planning - Vero Beach FL
1658,Brewery In Planning - Vero Beach FL, ,"Vero Beach, FL 32960-0669", ,Type: Planning,Brewery In Planning - Vienna
1659,Brewery In Planning - Vienna, ,"Vienna, VA 22181", ,Type: Planning,Brewery In Planning - Vienna
1660,Brewery In Planning - Vienna, ,"Vienna, CA ", ,Type: Planning,Brewery In Planning - Virginia Beach
1661,Brewery In Planning - Virginia Beach, ,"Virginia Beach, VA 23451-4391", ,Type: Planning,Brewery In Planning - Virginia Beach
1662,Brewery In Planning - Virginia Beach, ,"Virginia Beach, VA ", ,Type: Planning,Brewery In Planning - Virginia Beach
1663,Brewery In Planning - Virginia Beach, ,",  ", ,Type: Planning,Brewery In Planning - Visalia CA
1664,Brewery In Planning - Visalia CA, ,"Visalia, CA 93291-6502", ,Type: Planning,Brewery In Planning - Vista
1665,Brewery In Planning - Vista, ,"Vista, CA 92084-3717", ,Type: Planning,Brewery In Planning - V-Twin Brewing
1666,Brewery In Planning - V-Twin Brewing, ,"Saint Petersburg, FL 33705", ,Type: Planning,Brewery In Planning - Wadsworth
1667,Brewery In Planning - Wadsworth, ,"Wadsworth, OH 44281", ,Type: Planning,Brewery In Planning - Wake Forest
1668,Brewery In Planning - Wake Forest, ,"Wake Forest, NC 27587", ,Type: Planning,Brewery In Planning - Warren OR
1669,Brewery In Planning - Warren OR, ,"Warren, OR 97053-9766", ,Type: Planning,Brewery In Planning - Warwick
1670,Brewery In Planning - Warwick, ,"Warwick, RI 02888", ,Type: Planning,Brewery In Planning - Washington
1671,Brewery In Planning - Washington, ,"Washington, DC 20002", ,Type: Planning,Brewery in Planning - Waterford
1672,Brewery in Planning - Waterford, ,"Waterford, MI 48328", ,Type: Planning,www.menageriekitchen.com
1673,Brewery In Planning - Watertown, ,",  ", ,Type: Planning,Brewery In Planning - Waukegan
1674,Brewery In Planning - Waukegan, ,",  ", ,Type: Planning,Brewery In Planning - Waynesville NC
1675,Brewery In Planning - Waynesville NC, ,"Waynesville, NC ", ,Type: Planning,Brewery In Planning - Wellington
1676,Brewery In Planning - Wellington, ,"Wellington, CO 80549", ,Type: Planning,Brewery In Planning - Weslaco
1677,Brewery In Planning - Weslaco, ,"Weslaco, TX 78596", ,Type: Planning,Brewery In Planning - West Bath
1678,Brewery In Planning - West Bath, ,",  ", ,Type: Planning,Brewery In Planning - West Branch
1679,Brewery In Planning - West Branch, ,"West Branch, MI 48661", ,Type: Planning,"Brewery In Planning - West Palm Beach, FL."
1680,"Brewery In Planning - West Palm Beach, FL.", ,"West Palm Beach, FL 33405-4126", ,Type: Planning,Brewery In Planning - Westford
1681,Brewery In Planning - Westford, ,",  05494", ,Type: Planning,Brewery In Planning - Westminster
1682,Brewery In Planning - Westminster, ,"Westminister, CO ", ,Type: Planning,Brewery In Planning - Westmont
1683,Brewery In Planning - Westmont, ,"Westmont, IL 60559", ,Type: Planning,Brewery In Planning - Westmount
1684,Brewery In Planning - Westmount, ,"Westmount, QC ", ,Type: Planning,Brewery In Planning - Westwood
1685,Brewery In Planning - Westwood, ,"Westwood, MA 02090", ,Type: Planning,"Brewery In Planning - Wheat Ridge, CO."
1686,"Brewery In Planning - Wheat Ridge, CO.", ,"Wheat Ridge, CO 80033-7444", ,Type: Planning,Brewery In Planning - White Plains
1687,Brewery In Planning - White Plains, ,"White Plains, NY 10606", ,Type: Planning,"Brewery In Planning - Whitehall, WI."
1688,"Brewery In Planning - Whitehall, WI.", ,"Whitehall, WI 54773-8822", ,Type: Planning,Brewery In Planning - Whitehouse Station
1689,Brewery In Planning - Whitehouse Station, ,"Whitehouse Station, NJ ", ,Type: Planning,Brewery In Planning - Whitman
1690,Brewery In Planning - Whitman, ,"Whitman, MA 2382", ,Type: Planning,Brewery In Planning - Wichita
1691,Brewery In Planning - Wichita, ,"Wichita, KS 67206", ,Type: Planning,Brewery In Planning - Wilkes Barre
1692,Brewery In Planning - Wilkes Barre, ,"Wilkes Barre, PA 18702", ,Type: Planning,Brewery In Planning - Williamsburg
1693,Brewery In Planning - Williamsburg, ,"Williamsburg, VA ", ,Type: Planning,Brewery In Planning - Wilmington
1694,Brewery In Planning - Wilmington, ,"Wilmington, NY 12997-0313", ,Type: Planning,Brewery In Planning - Wilmington
1695,Brewery In Planning - Wilmington, ,"Wilmington, DE 19808", ,Type: Planning,Brewery In Planning - Wilmington
1696,Brewery In Planning - Wilmington, ,",  ", ,Type: Planning,Brewery In Planning - Wimberley
1697,Brewery In Planning - Wimberley, ,"Wimberley, TX 78676", ,Type: Planning,Brewery In Planning - Windsor
1698,Brewery In Planning - Windsor, ,"Windsor, CO 80550", ,Type: Planning,Brewery In Planning - Winnipeg
1699,Brewery In Planning - Winnipeg, ,",  ", ,Type: Planning,Brewery In Planning - Winston Salem
1700,Brewery In Planning - Winston Salem, ,"Winston Salem, NC 27103", ,Type: Planning,Brewery In Planning - Winter Haven
1701,Brewery In Planning - Winter Haven, ,"Winter Haven, FL ", ,Type: Planning,Brewery In Planning - Winter Park
1702,Brewery In Planning - Winter Park, ,"Winter Park, FL 32792", ,Type: Planning,Brewery In Planning - Woodinville
1703,Brewery In Planning - Woodinville, ,",  ", ,Type: Planning,Brewery In Planning - Woodland
1704,Brewery In Planning - Woodland, ,"Woodland, CA ", ,Type: Planning,www.twelveroundsbrewing.com
1705,Brewery In Planning - Woodstock, ,"Woodstock, GA 30189", ,Type: Planning,Brewery In Planning - Woodstock
1706,Brewery In Planning - Woodstock, ,"Woodstock, GA 30189", ,Type: Planning,"Brewery In Planning - Worthington, OH."
1707,"Brewery In Planning - Worthington, OH.", ,"Columbus, OH 43085", ,Type: Planning,Brewery In Planning - Yonkers
1708,Brewery In Planning - Yonkers, ,",  ", ,Type: Planning,Brewery In Planning - Ypsilanti
1709,Brewery In Planning - Ypsilanti, ,"Ypsilanti, MI 48197", ,Type: Planning,"Brewery In Planning- 2nd Job Brewery, LLC."
1710,"Brewery In Planning- 2nd Job Brewery, LLC.", ,",  ", ,Type: Planning,Brewery In Planning- Ada. MI.
1711,Brewery In Planning- Ada. MI., ,"Ada, MI ", ,Type: Planning,"Brewery In Planning- Angier, NC."
1712,"Brewery In Planning- Angier, NC.", ,"Angier, NC 27501", ,Type: Planning,"Brewery In Planning- Appleton, WI."
1713,"Brewery In Planning- Appleton, WI.", ,"Appleton, WI ", ,Type: Planning,"Brewery In Planning- Arcata, CA. "
1714,"Brewery In Planning- Arcata, CA. ", ,"Arcata, CA ", ,Type: Planning,"Brewery In Planning- Arlington, MA."
1715,"Brewery In Planning- Arlington, MA.", ,"Arlington, MA ", ,Type: Planning,"Brewery In Planning- Athens, GA."
1716,"Brewery In Planning- Athens, GA.", ,"Athens, GA ", ,Type: Planning,Brewery In Planning- Austin
1717,Brewery In Planning- Austin, ,"Austin, TX ", ,Type: Planning,www.ruminantbeer.com
1718,Brewery In Planning- Austin , ,",  ", ,Type: Planning,"Brewery In Planning- Austin, TX"
1719,"Brewery In Planning- Austin, TX", ,"Austin, TX ", ,Type: Planning,"Brewery In Planning- Austin, TX."
1720,"Brewery In Planning- Austin, TX.", ,"Austin, TX ", ,Type: Planning,"Brewery In Planning- Austin, TX."
1721,"Brewery In Planning- Austin, TX.", ,"Austin, TX ", ,Type: Planning,"Brewery In Planning- Austin, TX."
1722,"Brewery In Planning- Austin, TX.", ,"Austin, TX ", ,Type: Planning,"Brewery In Planning- Battle Ground, WA."
1723,"Brewery In Planning- Battle Ground, WA.", ,"Battle Ground, WA 98604-1460", ,Type: Planning,"Brewery In Planning- Bellevue, KY"
1724,"Brewery In Planning- Bellevue, KY", ,"Bellevue, KY ", ,Type: Planning,"Brewery In Planning- Bend, OR."
1725,"Brewery In Planning- Bend, OR.", ,"Bend, OR 97701-8514", ,Type: Planning,"Brewery In Planning- Berryville, VA."
1726,"Brewery In Planning- Berryville, VA.", ,"Berryville, VA ", ,Type: Planning,"Brewery In Planning- Berthoud, CO."
1727,"Brewery In Planning- Berthoud, CO.", ,"Berthoud, CO 80513-1357", ,Type: Planning,Brewery In Planning- Big Dan's Brew Shed
1728,Brewery In Planning- Big Dan's Brew Shed, ,"Pleasant Garden, NC 27313-9278", ,Type: Planning,"Brewery In Planning- Bothell, WA."
1729,"Brewery In Planning- Bothell, WA.", ,"Bothell, WA 98012-9208", ,Type: Planning,"Brewery In Planning- Boulder, CO."
1730,"Brewery In Planning- Boulder, CO.", ,"Boulder, CO 80302-5118", ,Type: Planning,"Brewery In Planning- Bow, WA."
1731,"Brewery In Planning- Bow, WA.", ,"Bow, WA 98232-9353", ,Type: Planning,"Brewery In Planning- Brandon, FL."
1732,"Brewery In Planning- Brandon, FL.", ,"Brandon, FL 33510-2829", ,Type: Planning,"Brewery In Planning- Brighton, MI."
1733,"Brewery In Planning- Brighton, MI.", ,"Brighton, MI ", ,Type: Planning,"Brewery In Planning- Buffalo, NY."
1734,"Brewery In Planning- Buffalo, NY.", ,"Buffalo, NY 14222-1418", ,Type: Planning,"Brewery In Planning- Camp Hill, PA."
1735,"Brewery In Planning- Camp Hill, PA.", ,"Camp Hill, PA 17011", ,Phone: (717) 579-1121,Type: Planning
1736,"Brewery In Planning- Cape Coral, FL.", ,"Cape Coral, FL ", ,Type: Planning,"Brewery In Planning- Carlsbad, CA."
1737,"Brewery In Planning- Carlsbad, CA.", ,"Carlsbad, CA ", ,Type: Planning,"Brewery In Planning- Carmel, IN."
1738,"Brewery In Planning- Carmel, IN.", ,"Carmel, IN 46032", ,Type: Planning,"Brewery In Planning- Chandler, AZ."
1739,"Brewery In Planning- Chandler, AZ.", ,"Kingston, NJ 85286", ,Type: Planning,"Brewery In Planning- Charlotte, NC."
1740,"Brewery In Planning- Charlotte, NC.", ,"Charlotte, NC ", ,Type: Planning,"Brewery In Planning- Chartlottesville, VA."
1741,"Brewery In Planning- Chartlottesville, VA.", ,"Charlottesville, VA ", ,Type: Planning,"Brewery In Planning- Chicago, IL"
1742,"Brewery In Planning- Chicago, IL", ,"Chicago, IL ", ,Type: Planning,"Brewery In Planning- Chicago, IL. "
1743,"Brewery In Planning- Chicago, IL. ", ,"Chicago , IL ", ,Type: Planning,"Brewery In Planning- Cincinnati, OH."
1744,"Brewery In Planning- Cincinnati, OH.", ,"Cincinnati, OH ", ,Type: Planning,"Brewery In Planning- Claysburg, PA."
1745,"Brewery In Planning- Claysburg, PA.", ,"Claysburg, PA ", ,Type: Planning,Brewery In Planning- Columbia
1746,Brewery In Planning- Columbia, ,"Columbia, MD 21044", ,Type: Planning,"Brewery In Planning- Columbus, OH."
1747,"Brewery In Planning- Columbus, OH.", ,"Columbus, OH 43214-1318", ,Type: Planning,"Brewery In Planning- Concord, CA"
1748,"Brewery In Planning- Concord, CA", ,"Concord, CA ", ,Type: Planning,"Brewery In Planning- Conway, SC"
1749,"Brewery In Planning- Conway, SC", ,"Conway, SC ", ,Type: Planning,Brewery In Planning- Dallas
1750,Brewery In Planning- Dallas, ,"Dallas, TX 75225-8015", ,Type: Planning,"Brewery In Planning- Decatur, AL"
1751,"Brewery In Planning- Decatur, AL", ,"Decatur, AL 35603-2205", ,Type: Planning,"Brewery In Planning- Denver, CO. "
1752,"Brewery In Planning- Denver, CO. ", ,"Denver, CO ", ,Type: Planning,"Brewery In Planning- Dundee, IL."
1753,"Brewery In Planning- Dundee, IL.", ,"Dundee, IL 60118-1434", ,Type: Planning,"Brewery In Planning- Durham, NC."
1754,"Brewery In Planning- Durham, NC.", ,"Durham, NC ", ,Type: Planning,Brewery In Planning- Edgerton
1755,Brewery In Planning- Edgerton, ,"Edgerton, WI ", ,Type: Planning,"Brewery In Planning- Esperance, NY."
1756,"Brewery In Planning- Esperance, NY.", ,"Esperance, NY 12066-2009", ,Type: Planning,"Brewery In Planning- Fairfield, CA."
1757,"Brewery In Planning- Fairfield, CA.", ,"Fairfield, CA ", ,Type: Planning,"Brewery In Planning- Fernandina Beach, FL."
1758,"Brewery In Planning- Fernandina Beach, FL.", ,"Fernandina Beach, FL ", ,Type: Planning,"Brewery In Planning- Ferndale, MI"
1759,"Brewery In Planning- Ferndale, MI", ,"Ferndale, MI 48220", ,Type: Planning,"Brewery In Planning- Ferndale, WA. "
1760,"Brewery In Planning- Ferndale, WA. ", ,"Ferndale, WA 98248-5011", ,Type: Planning,"Brewery In Planning- Freeland, MD."
1761,"Brewery In Planning- Freeland, MD.", ,"Freeland, MD 21053-9687", ,Type: Planning,Brewery In Planning- Gonzales
1762,Brewery In Planning- Gonzales, ,"Gonzales, LA 70737-8514", ,Phone: 225-257-4118,Type: Planning
1763,"Brewery In Planning- Grand Haven, MI.", ,"Grand Haven, MI 49417", ,Type: Planning,"Brewery In Planning- Greenwell Springs, LA"
1764,"Brewery In Planning- Greenwell Springs, LA", ,"Greenwell Springs, LA 70739", ,Type: Planning,"Brewery In Planning- Gulf Shores, AL."
1765,"Brewery In Planning- Gulf Shores, AL.", ,"Gulf Shores, AL 36547-6307", ,Type: Planning,"Brewery In Planning- Holtville, CA."
1766,"Brewery In Planning- Holtville, CA.", ,"Holtville, CA 92250", ,Type: Planning,"Brewery In Planning- Houston, TX."
1767,"Brewery In Planning- Houston, TX.", ,"Houston, TX 77007-7351", ,Type: Planning,"Brewery In Planning- Iowa City, IA."
1768,"Brewery In Planning- Iowa City, IA.", ,"Iowa City, IA ", ,Type: Planning,"Brewery In Planning- Jacksonville, FL."
1769,"Brewery In Planning- Jacksonville, FL.", ,"Jacksonville, FL 32207-7233", ,Type: Planning,"Brewery In Planning- Kailua, HI"
1770,"Brewery In Planning- Kailua, HI", ,"Kailua, HI 96734-4005", ,Type: Planning,Brewery In Planning- Kirland
1771,Brewery In Planning- Kirland, ,",  ", ,Type: Planning,"Brewery In Planning- La Habra, CA. "
1772,"Brewery In Planning- La Habra, CA. ", ,",  ", ,Type: Planning,"Brewery In Planning- Lake Charles, IA."
1773,"Brewery In Planning- Lake Charles, IA.", ,"Lake Charles, IA ", ,Type: Planning,Brewery In Planning Lakewood- WA
1774,Brewery In Planning Lakewood- WA, ,"Lakewood, WA ", ,Type: Planning,"Brewery In Planning- Lewisburg, WV"
1775,"Brewery In Planning- Lewisburg, WV", ,"Lewisburg, WV ", ,Type: Planning,Brewery In Planning- Long Beach
1776,Brewery In Planning- Long Beach, ,",  ", ,Type: Planning,"Brewery In Planning- Los Angeles, CA."
1777,"Brewery In Planning- Los Angeles, CA.", ,"Los Angeles, CA 90046-1402", ,Type: Planning,"Brewery In Planning- Louisville, KY."
1778,"Brewery In Planning- Louisville, KY.", ,"Louisville, KY 40223-2774", ,Type: Planning,"Brewery In Planning- Mc Kinney, TX."
1779,"Brewery In Planning- Mc Kinney, TX.", ,"Mc Kinney, TX 75069-9000", ,Type: Planning,"Brewery In Planning- McAllen, TX."
1780,"Brewery In Planning- McAllen, TX.", ,"McAllen, TX ", ,Type: Planning,"Brewery In Planning- McLean, VA."
1781,"Brewery In Planning- McLean, VA.", ,"Mc Lean, VA ", ,Type: Planning,"Brewery In Planning- Mebane, NC."
1782,"Brewery In Planning- Mebane, NC.", ,"Mebane, NC 27302-8860", ,Type: Planning,"Brewery In Planning- Midvale, UT"
1783,"Brewery In Planning- Midvale, UT", ,"Midvale, UT ", ,Type: Planning,"Brewery In Planning- Minneapolis, MN."
1784,"Brewery In Planning- Minneapolis, MN.", ,"Minneapolis, MN 55419-1732", ,Type: Planning,Brewery In Planning- Mission Viejo
1785,Brewery In Planning- Mission Viejo, ,"Mission Viejo, CA ", ,Type: Planning,"Brewery In Planning- Naples, FL."
1786,"Brewery In Planning- Naples, FL.", ,"Naples, FL 34105-6304", ,Type: Planning,Brewery In Planning- Nashville
1787,Brewery In Planning- Nashville, ,",  ", ,Type: Planning,"Brewery In Planning- Nashville, TN"
1788,"Brewery In Planning- Nashville, TN", ,"Nashville, TN ", ,Type: Planning,"Brewery In Planning- Norfolk, VA."
1789,"Brewery In Planning- Norfolk, VA.", ,"Norfolk, VA ", ,Type: Planning,"Brewery In Planning- Nutley, NJ. "
1790,"Brewery In Planning- Nutley, NJ. ", ,"Nutley, NJ ", ,Type: Planning,"Brewery In Planning- Orlando, FL."
1791,"Brewery In Planning- Orlando, FL.", ,"Orlando, FL 32804-6375", ,Type: Planning,Brewery In Planning- Philippines
1792,Brewery In Planning- Philippines, ,",  ", ,Type: Planning,Brewery In Planning- Phoenix
1793,Brewery In Planning- Phoenix, ,",  ", ,Type: Planning,"Brewery In Planning- Phoenix, AZ"
1794,"Brewery In Planning- Phoenix, AZ", ,"Phoenix, AZ ", ,Type: Planning,Brewery In Planning- Pine Isle Brewery
1795,Brewery In Planning- Pine Isle Brewery, ,",  ", ,Type: Planning,"Brewery In Planning- Placitas, NM."
1796,"Brewery In Planning- Placitas, NM.", ,"Placitas, NM ", ,Type: Planning,"Brewery In Planning- Plano, TX."
1797,"Brewery In Planning- Plano, TX.", ,"Plano, TX ", ,Type: Planning,"Brewery In Planning- Port Saint Joe, FL."
1798,"Brewery In Planning- Port Saint Joe, FL.", ,"Port Saint Joe, FL ", ,Type: Planning,"Brewery In Planning- Portland, OR. "
1799,"Brewery In Planning- Portland, OR. ", ,"Portland, OR ", ,Type: Planning,"Brewery In Planning- Pueblo West, CO."
1800,"Brewery In Planning- Pueblo West, CO.", ,"Pueblo, CO 81007-2083", ,Type: Planning,"Brewery In Planning- Raleigh, NC."
1801,"Brewery In Planning- Raleigh, NC.", ,",  ", ,Type: Planning,Brewery In Planning- Reston
1802,Brewery In Planning- Reston, ,"Reston, VA ", ,Type: Planning,"Brewery In Planning- Richmond, VA."
1803,"Brewery In Planning- Richmond, VA.", ,"Richmond, VA 23230-2222", ,Type: Planning,"Brewery In Planning- River Ridge, LA"
1804,"Brewery In Planning- River Ridge, LA", ,",  ", ,Type: Planning,"Brewery In Planning- Rock Spring, GA."
1805,"Brewery In Planning- Rock Spring, GA.", ,"Rock Spring, GA 30739", ,Type: Planning,"Brewery In Planning- Roswell, GA."
1806,"Brewery In Planning- Roswell, GA.", ,"Roswell, GA 30075", ,Type: Planning,"Brewery In Planning- Saint Charles, MO."
1807,"Brewery In Planning- Saint Charles, MO.", ,"Saint Charles, MO ", ,Phone: (314) 494-5023,Type: Planning
1808,"Brewery In Planning- Saint Louis, MO.", ,"Saint Louis, MO 63122-4442", ,Type: Planning,"Brewery In Planning- San Antonio, TX."
1809,"Brewery In Planning- San Antonio, TX.", ,"San Antonio, TX ", ,Type: Planning,"Brewery In Planning- Sanford, FL."
1810,"Brewery In Planning- Sanford, FL.", ,"Sanford, FL 32771-3528", ,Type: Planning,"Brewery In Planning- Santa Cruz, CA."
1811,"Brewery In Planning- Santa Cruz, CA.", ,"Santa Cruz, CA 95060-1505", ,Type: Planning,Brewery In Planning- Shawnee
1812,Brewery In Planning- Shawnee, ,"Shawnee Mission, KS 66216", ,Type: Planning,"Brewery In Planning- South Hadley, MA."
1813,"Brewery In Planning- South Hadley, MA.", ,"South Hadley, MA ", ,Type: Planning,"Brewery In Planning- Spokane, WA."
1814,"Brewery In Planning- Spokane, WA.", ,"Spokane, WA ", ,Type: Planning,Brewery In Planning- St. Charles
1815,Brewery In Planning- St. Charles, ,",  ", ,Type: Planning,"Brewery In Planning- Stedman, NC. "
1816,"Brewery In Planning- Stedman, NC. ", ,"Stedman, NC 28391-8457", ,Type: Planning,"Brewery In Planning- Tok, AK. "
1817,"Brewery In Planning- Tok, AK. ", ,"Tok, AK ", ,Type: Planning,"Brewery In Planning- Tualatin, OR."
1818,"Brewery In Planning- Tualatin, OR.", ,"Tualatin, OR 97062-6857", ,Type: Planning,"Brewery In Planning- Tyler, TX."
1819,"Brewery In Planning- Tyler, TX.", ,"Tyler, TX 75703-4558", ,Type: Planning,"Brewery In Planning- Vancouver, WA."
1820,"Brewery In Planning- Vancouver, WA.", ,"Vancouver, WA ", ,Type: Planning,Brewery In Planning- Whitesboro NY
1821,Brewery In Planning- Whitesboro NY, ,"Whitesboro, NY 13492-3010", ,Type: Planning,Brewery In Planning- Woodbury MN
1822,Brewery In Planning- Woodbury MN, ,"Woodbury, MN ", ,Type: Planning,Brewery In Planning- Yorba Linda CA
1823,Brewery In Planning- Yorba Linda CA, ,"Yorba Linda, CA 92887-5101", ,Type: Planning,Brewery Labs
1824,Brewery Labs, ,"Lexington, SC 29072", ,Type: Planning,Brewery Rex
1825,Brewery Rex, ,",  ", ,Type: Planning,Brewery Rickoli
1826,Brewery Rickoli,4335 Wadsworth Blvd ,"Wheat Ridge, CO 80033-4621 | Map",4335 Wadsworth Blvd ,Phone: (303) 431-6862,Type: Micro
1827,Brewery Terra Firma,2959 Hartman Rd ,"Traverse City, MI 49685-8838 | Map",2959 Hartman Rd ,Phone: (231) 929-1600,Type: Micro
1828,Brewery Twenty Five, ,"Hollister, CA ", ,Phone: (831) 636-7640,Type: Micro
1829,Brewery Vivant,925 Cherry St SE ,"Grand Rapids, MI 49506-1403 | Map",925 Cherry St SE ,Phone: (616) 283-4437,Type: Brewpub
1830,Brewery X, ,"Cincinnati, OH 45202", ,Type: Planning,Brewery Zatkoff
1831,Brewery Zatkoff, ,"Chicago, IL 60625-3002", ,Type: Planning,www.breweryzatkoff.com
1832,Brewing In Planning - East Hampton, ,"East Hampton, NY 11937", ,Type: Planning,Brewmaster Jack
1833,Brewmaster Jack, ,"Northampton, MA ", ,Phone: (413) 367-7190,Type: Contract
1834,Brewmasters Tavern,4 Main St ,"Williamsburg, MA 01096-9428 | Map",4 Main St ,Phone: (413) 268-7741,Type: Brewpub
1835,Brewrey In Planning - Highlands, ,",  ", ,Type: Planning,Brewrey In Planning - Littleton
1836,Brewrey In Planning - Littleton, ,",  ", ,Type: Planning,Brewrey In Planning - Scranton
1837,Brewrey In Planning - Scranton, ,",  ", ,Type: Planning,BrewRiver GastroPub
1838,BrewRiver GastroPub,2062 Riverside Dr ,"Cincinnati, OH 45202-1843 | Map",2062 Riverside Dr ,Phone: (513) 861-2484,Type: Contract
1839,Brewry In Planning - Denver, ,",  ", ,Type: Planning,Brewstel
1840,Brewstel,120 Davis Ave ,"Elkins, WV 26241-3812 | Map",120 Davis Ave ,Phone: (304) 940-4769,Type: Micro
1841,Brewster River Pub & Brewery,4087 Vt Route 108 S ,"Jeffersonville, VT 05464-9509 | Map",4087 Vt Route 108 S ,Phone: (802) 644-6366,Type: Brewpub
1842,Brewtus Brewing Company,23 Chestnut Ave ,"Sharon, PA 16146-2713 | Map",23 Chestnut Ave ,Phone: (724) 308-6293,Type: Brewpub
1843,Brewyard Beer Company LLC, ,"Mission Hills, CA 91345", ,Type: Planning,www.facebook.com/TheBrewyard
1844,Brewzzi Boca Raton,2222 Glades Rd Glades Plaza,"Boca Raton, FL 33431-7314 | Map",2222 Glades Rd Glades Plaza,Phone: (561) 392-2739,Type: Brewpub
1845,Briar Common Brewery & Eatery, ,"Denver, CO 80211-5122", ,Type: Planning,Brick and Barrel
1846,Brick and Barrel,1844 Columbus Rd ,"Cleveland, OH 44113-2412 | Map",1844 Columbus Rd ,Type: Micro,www.brickandbarrelbrewing.com
1847,Brick House Brewery and Restaurant,67 W Main St ,"Patchogue, NY 11772-3001 | Map",67 W Main St ,Phone: (631) 447-2337,Type: Brewpub
1848,Brick Street Brewing Company,506 Walker St Ste B ,"Woodbine, IA 51579-1229 | Map",506 Walker St Ste B ,Phone: (712) 592-1894,Type: Micro
1849,Brickside Brewery,64 Gratiot Street ,"Copper Harbor, MI 49918 | Map",64 Gratiot Street ,Phone: (906) 289-4548,Type: Micro
1850,Brickstone Restaurant & Brewery,557 William Latham Dr ,"Bourbonnais, IL 60914-2319 | Map",557 William Latham Dr ,Phone: (815) 936-9277,Type: Brewpub
1851,Brickstone Restaurant & Brewery,572 Brewery Lane ,"Bourbonnais, IL 60914-2319 | Map",572 Brewery Lane ,Phone: (815) 936-9277,Type: Micro
1852,Bricktown Brewery,1 N Oklahoma Ave ,"Oklahoma City, OK 73104-2413 | Map",1 N Oklahoma Ave ,Phone: (405) 232-2739,Type: Brewpub
1853,Bricktowne Brewing Co,111 E 8th St ,"Medford, OR 97501-7201 | Map",111 E 8th St ,Phone: (541) 973-2377,Type: Brewpub
1854,Brickway Brewery and Distillery,1116 Jackson St ,"Omaha, NE 68102-2825 | Map",1116 Jackson St ,Phone: (402) 933-2613,Type: Micro
1855,Brickyard Brewing Co,538 Riverside Dr ,"Wenatchee, WA 98801-6133 | Map",538 Riverside Dr ,Phone: (509) 888-9993,Type: Micro
1856,Bridge 99 Brewery,61123 Tapadera St ,"Bend, OR 97702-2672 | Map",61123 Tapadera St ,Phone: (541) 280-1690,Type: Micro
1857,Bridge and Tunnel Brewery, ,"Queens, NY ", ,Phone: (347) 392-8593,Type: Micro
1858,Bridge Brew Works,335 Nick Rahall Greenway ,"Fayetteville, WV 25840-1617 | Map",335 Nick Rahall Greenway ,Phone: (304) 574-1998,Type: Micro
1859,Bridge Street Tap Room,202 Bridge Street ,"Charlevoix, MI 49720-1404 | Map",202 Bridge Street ,Phone: (231) 437-3466,Type: Brewpub
1860,Bridger Brewing Company,1609 S 11th Ave ,"Bozeman, MT 59715-5466 | Map",1609 S 11th Ave ,Phone: (406) 587-2124,Type: Brewpub
1861,Bridgetown Brew Works, ,"Cheviot, OH ", ,Type: Planning,www.bridgetownbrewworks.com
1862,Bridgetown Brew Works, ,"Cincinnati, OH 45211-5752", ,Type: Planning,www.bridgetownbrewworks.com
1863,Brier Brewing,3501 217th Pl SW ,"Brier, WA 98036-4201 | Map",3501 217th Pl SW ,Type: Micro,Brieux Carre Brewing Company
1864,Brieux Carre Brewing Company, ,",  ", ,Type: Planning,Brigadoon Brewery & Brew School
1865,Brigadoon Brewery & Brew School,4808 Fairmont Pkwy Ste 112 ,"Pasadena, TX 77505-3722 | Map",4808 Fairmont Pkwy Ste 112 ,Phone: (218) 710-7560,Type: Micro
1866,Bristol Brewery,41 Piedmont Ave ,"Bristol, VA 24201-4160 | Map",41 Piedmont Ave ,Phone: (276) 608-1220,Type: Micro
1867,Bristol Brewing Co,1604 S Cascade Ave ,"Colorado Springs, CO 80905-2237 | Map",1604 S Cascade Ave ,Phone: (719) 633-2555,Type: Micro
1868,Brix City Brewing,4 Alsan Way ,"Little Ferry, NJ 07643-1001 | Map",4 Alsan Way ,Phone: (201) 440-0865,Type: Micro
1869,Brix Taphouse and Brewery,813 8th St ,"Greeley, CO 80631-3911 | Map",813 8th St ,Phone: (970) 397-6146,Type: Micro
1870,Brixton Brewing, ,"Rochester, PA 15074-2203", ,Type: Planning,www.brixtonbrewing.com
1871,Broad Brook Brewing Company,2 North Rd ,"East Windsor, CT 06088-9516 | Map",2 North Rd ,Phone: (860) 623-1000,Type: Micro
1872,Broad Ripple Brewing Co,840 E 65th St ,"Indianapolis, IN 46220-1674 | Map",840 E 65th St ,Phone: (317) 253-2739,Type: Brewpub
1873,Broad Street Brewing Company,113 Broad St ,"Reinbeck, IA 50669-1013 | Map",113 Broad St ,Phone: (319) 350-0749,Type: Micro
